Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
Technical,As per Upload,Birendra Paswan,12-Nov-2025 04:55 PM,technical_1995484.pdf,11-Dec-2025,"INR 42,082.92",20.0,Birendra Paswan,01-Jan-2026 12:22 PM,parsiya_5.pdf (346.00 KB),Birendra Paswan,Internal,As per Upload,Birendra Paswan,12-Nov-2025 05:04 PM,13-Nov-2025 12:00 PM,techsummary_1995484.pdf (352.40 KB),1,5658461,M/S S S ENTERPRISES,06-Nov-2025 02:59 PM,Accepted-AOC,As per Upload,01-Jan-2026 12:22 PM,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Rapti CC Circle-2, Basti||SCD, bansi",2025_UPIDC_1078690_63,03/EESNK1BANSI/2025-26,Silt Scraping and jungle clearance of Parsiya minor km 0.000 to 2.590,Finance,As per Upload,Birendra Paswan,01-Dec-2025 01:21 PM,,BOQ Comparative Chart,Birendra Paswan,Internal,,Birendra Paswan,01-Dec-2025 01:38 PM,finsummary_1995484.pdf (196.43 KB),1.0,5658461.0,M/S S S ENTERPRISES,INR,"42,082.92",AOC,Silt Scraping and jungle clearance of Parsiya minor km 0.000 to 2.590,Silt Scraping and jungle clearance of Parsiya minor km 0.000 to 2.590,Please refer Tender documents. ,NA ,"48,000",Civil Works - Canal,NA ,Rate Contract,90.0,20.0,SIDDHARTH NAGAR,272153.0,NA ,NA ,NA ,SARYU NAHAR KHAND 1 BANSI SIDDHARTH NAGAR,No ,No,"1,000",Yes,fixed,,Nil,Nil,SARYU NAHAR KHAND 1 BANSI SIDDHARTH NAGAR,SARYU NAHAR KHAND 1 BANSI SIDDHARTH NAGAR,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Rapti CC Circle-2, Basti||SCD, bansi",03/EESNK1BANSI/2025-26,2025_UPIDC_1078690_63,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,03-Nov-2025 11:00 AM,11-Nov-2025 01:00 PM,03-Nov-2025 11:00 AM,11-Nov-2025 11:00 AM,NA ,NA ,03-Nov-2025 11:00 AM,11-Nov-2025 11:00 AM,13-Nov-2025 12:00 PM,559.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Tender Document,AOC
,,,,,,,,,,,,,,,,,,2,5654389,pandey construction and labour supplier,05-Nov-2025 01:31 PM,Rejected-Technical,As per Upload,12-Nov-2025 05:04 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC
