Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"Maintenance and Repairing of Type-IV Residence No 11/3 at New Parikalp Vihar Colony, Telibagh, Lucknow.(Lot No.15)","Maintenance and Repairing of Type-IV Residence No 11/3 at New Parikalp Vihar Colony, Telibagh, Lucknow.(Lot No.15)",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,30.0,new Parikalp Vihar colony,226002.0,NA ,NA ,NA ,canal Colony,No ,No,"3,300",No,fixed,,Nil,Nil,590.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Fee/EMD/Technical,Assistant Engineer IV,LDSC Lucknow.,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",03/AEIV/2025-26,2025_UPIDC_1063632_15,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,08-Aug-2025 03:00 PM,18-Aug-2025 03:00 PM,08-Aug-2025 03:00 PM,18-Aug-2025 12:00 PM,08-Aug-2025 03:00 PM ,18-Aug-2025 12:00 PM ,08-Aug-2025 03:00 PM,18-Aug-2025 12:00 PM,26-Aug-2025 11:00 AM,AOC,D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,28-Aug-2025 12:42 PM,finsummary_1938448.pdf (914.43 KB),Finance,boq summary,deena nath maurya,26-Aug-2025 01:36 PM,finance_1938448.pdf,BOQ Comparative Chart,1.0,5436894.0,M/S M. K. CONSTRUCTION,INR,"160,274.9",1,5437026,M/S ASHOKA ENTERPRISES,17-Aug-2025 04:27 PM,Rejected-AOC,L2,02-Jan-2026 01:59 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",2025_UPIDC_1063632_15,03/AEIV/2025-26,"Maintenance and Repairing of Type-IV Residence No 11/3 at New Parikalp Vihar Colony, Telibagh, Lucknow.(Lot No.15)",01-Sep-2025,"INR 160,274.9",30.0,deena nath maurya,02-Jan-2026 01:59 PM,agno82.pdf (723.00 KB),AOC,Technical,Summary,deena nath maurya,25-Aug-2025 12:52 PM,technical_1938448.pdf,D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,25-Aug-2025 05:03 PM,26-Aug-2025 11:00 AM,techsummary_1938448.pdf (914.43 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,5436894,M/S M. K. CONSTRUCTION,17-Aug-2025 08:18 PM,Accepted-AOC,L1,02-Jan-2026 01:59 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
