S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1,5518589,HARSH ENTERPRISES,08-Sep-2025 12:54 PM,Rejected-Finance,L8,08-Jan-2026 12:48 PM,1.0,5502862.0,VATS BUILDERS & EARTH MOVER,INR,"617,758.6",Yamuna Expressway Industrial Development Authority,2025_YEIDA_1068568_1,YEA/GM(PROJECT)/2025/408 DT-20/08/2025,"Temporary Kharanja from Rajesh house to Mata Temple in Village- Siroli Bangar, YEA. WC-06",14-Jan-2026,"INR 617,758.6",90.0,RAJENDRA SINGH BHATI,14-Jan-2026 03:02 PM,408.pdf (1030.00 KB),AOC,Committee,Internal,Committee,BHARAM PAL SINGH,08-Jan-2026 12:48 PM,finsummary_1949414.pdf (75.17 KB),Technical,EVALUATION,VIKAS KUMAR,03-Nov-2025 11:54 AM,,Committee,Internal,Committee,VIKAS KUMAR,03-Nov-2025 12:02 PM,03-Nov-2025 03:00 PM,techsummary_1949414.pdf (699.59 KB),Finance,UNDER EVALUATION,BHARAM PAL SINGH,08-Jan-2026 12:42 PM,,BOQ Comparative Chart,AOC,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",26-Aug-2025 06:55 PM,10-Sep-2025 11:00 AM,26-Aug-2025 06:55 PM,08-Sep-2025 05:00 PM,NA ,NA ,26-Aug-2025 06:55 PM,08-Sep-2025 05:00 PM,03-Nov-2025 03:00 PM,"19,900",No,fixed,,Nil,Nil,840.0,Nil,Nil,No,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,"Temporary Kharanja from Rajesh house to Mata Temple in Village- Siroli Bangar, YEA. WC-06","Temporary Kharanja from Rajesh house to Mata Temple in Village- Siroli Bangar, YEA. WC-06",Please refer Tender documents. ,NA ,"9,94,140",Civil Works,NA ,Tender,90.0,90.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,"2ND FLOOR ,YEIDA OFFICE",No ,No,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/408 DT-20/08/2025,2025_YEIDA_1068568_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,AOC
2,5520948,LK ENTERPRISES,08-Sep-2025 12:38 PM,Rejected-Finance,L2,08-Jan-2026 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3,5521673,MKG INFRATECH,08-Sep-2025 04:47 PM,Rejected-Finance,L4,08-Jan-2026 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4,5519690,rama enterprises,07-Sep-2025 10:41 AM,Rejected-Finance,L5,08-Jan-2026 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5,5517331,RSMS CONSTRUCTION,08-Sep-2025 11:56 AM,Rejected-Finance,L3,08-Jan-2026 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6,5520825,RUDRA ENTERPRISES,08-Sep-2025 12:33 PM,Rejected-Technical,DISQUALIFIED,03-Nov-2025 12:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7,5518696,Shiv Shakti Constructions,06-Sep-2025 11:28 AM,Rejected-Finance,L6,08-Jan-2026 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8,5520834,SHREE ENTERPRISES/ ANAND PRATAP SINGH,08-Sep-2025 02:19 PM,Rejected-Finance,L9,08-Jan-2026 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9,5521237,S.R. ENTERPRISES,08-Sep-2025 01:43 PM,Rejected-Finance,L7,08-Jan-2026 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10,5521451,Vaishali Infra Solutions,08-Sep-2025 03:40 PM,Rejected-Finance,L10,08-Jan-2026 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
11,5502862,VATS BUILDERS & EARTH MOVER,05-Sep-2025 03:37 PM,Accepted-AOC,L1,14-Jan-2026 03:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
