Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,109/FZD/MLA/25-26,2025_SCIDC_1096860_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,062",UPSCIDCO,FIROZABAD,No,1.0,New Opening Date,Date,,"CONSTRUCTION OF C.C. ROAD FROM MAATA RANIS MANDIR TO PREMCHANDRAS HOUSE AT VILL.-NAGLA MUKUND, DISTT.- FIROZABAD.","CONSTRUCTION OF C.C. ROAD FROM MAATA RANIS MANDIR TO PREMCHANDRAS HOUSE AT VILL.-NAGLA MUKUND, DISTT.- FIROZABAD.",Please refer Tender documents. ,NA ,"8,75,000",Civil Works,NA ,Tender,180.0,180.0,sikandra agra,282007.0,NA ,NA ,NA ,"H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikand",No ,No,1,Fee/PreQual/Technical,.pdf,NIT,Executive engineer,"Ex. En. Office, H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikandra, Agra.",1.0,RTGS - RTGS Payment,06-Jan-2026 03:00 PM,17-Jan-2026 01:00 PM,06-Jan-2026 03:00 PM,17-Jan-2026 12:00 PM,NA ,NA ,06-Jan-2026 03:00 PM,17-Jan-2026 12:00 PM,20-Jan-2026 04:25 PM,"17,500",No,fixed,,UPSCIDCO,FIROZABAD,AOC,Technical,All bids are ok.,Sanjai Gangwar,20-Jan-2026 03:34 PM,technical_2037002.pdf,Executive Engineer,Internal,,Pramod Kumar,22-Jan-2026 11:55 AM,finsummary_2037002.pdf (466.18 KB),Finance,Rate of M/s OM CONSTRUCTION AND SUPPLIERS is accepted.,Sanjai Gangwar,21-Jan-2026 01:23 PM,finance_2037002.pdf,BOQ Comparative Chart,Executive Engineer,Internal,,Pramod Kumar,20-Jan-2026 04:23 PM,20-Jan-2026 04:25 PM,techsummary_2037002.pdf (196.65 KB),22-Jan-2026,"INR 874,859.98",180.0,Pramod Kumar,22-Jan-2026 11:57 AM,fr109.pdf (466.00 KB),U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,2025_SCIDC_1096860_2,109/FZD/MLA/25-26,"CONSTRUCTION OF C.C. ROAD FROM MAATA RANIS MANDIR TO PREMCHANDRAS HOUSE AT VILL.-NAGLA MUKUND, DISTT.- FIROZABAD.",1.0,5809893.0,OM CONSTRUCTION AND SUPPLIERS,INR,"874,859.98",1,5809893,OM CONSTRUCTION AND SUPPLIERS,16-Jan-2026 06:29 PM,Accepted-AOC,OK,22-Jan-2026 11:57 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5810050,YASH CONSTRUCTION,16-Jan-2026 08:15 PM,Rejected-AOC,OK,22-Jan-2026 11:57 AM,AOC
