Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
10-Jan-2026,"INR 1,646,821",45.0,Akhil Kumar,10-Jan-2026 02:22 PM,AOc.pdf (481.00 KB),L1,1,5765655,RAJENDRA PRASAD CONTRACTOR,23-Dec-2025 01:07 PM,Accepted-AOC,L1,10-Jan-2026 02:22 PM,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Banda||Executive Engineer MLCD Banda,2025_UPIDM_1086533_2,04/Lot 5/E.E./2025-26,installation of 01 new barge 15x5.5X1.7 m planking covering painting etc. work and dismantling of 02 old dilapidated barges and dismantling of 04 pump sets from the old barge and installing them on the new barge at Gurha Pump Canal,1.0,5765655.0,RAJENDRA PRASAD CONTRACTOR,INR,"1,646,821",Finance,both bids are admitted for financial evolution,Akhil Kumar,31-Dec-2025 11:06 AM,,BOQ Comparative Chart,Akhil kUmar,Internal,,Akhil Kumar,30-Dec-2025 09:03 AM,30-Dec-2025 11:00 AM,techsummary_2025785.pdf (1394.46 KB),Technical,all bids are admitted for technical evolution,Akhil Kumar,30-Dec-2025 09:00 AM,,Akhil kUmar,Internal,,Akhil Kumar,31-Dec-2025 11:09 AM,finsummary_2025785.pdf (1394.46 KB),AOC,"47,500",No,fixed,,Nil,Nil,EE MLCD Banda,MLCD Banda,854.0,Nil,Nil,No,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Banda||Executive Engineer MLCD Banda,04/Lot 5/E.E./2025-26,2025_UPIDM_1086533_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,installation of 01 new barge 15x5.5X1.7 m planking covering painting etc. work and dismantling of 02 old dilapidated barges and dismantling of 04 pump sets from the old barge and installing them on the new barge at Gurha Pump Canal,installation of 01 new barge 15x5.5X1.7 m planking covering painting etc. work and dismantling of 02 old dilapidated barges and dismantling of 04 pump sets from the old barge and installing them on the new barge at Gurha Pump Canal,Please refer Tender documents. ,NA ,"23,55,967",Miscellaneous Works,NA ,Tender,90.0,NA ,Naraini banda,210129.0,NA ,NA ,NA ,MLCD Banda,No ,No,17-Dec-2025 12:00 PM,26-Dec-2025 10:00 AM,17-Dec-2025 12:00 PM,25-Dec-2025 05:00 PM,NA ,NA ,17-Dec-2025 12:00 PM,25-Dec-2025 05:00 PM,30-Dec-2025 11:00 AM,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,tender document,1,Date Extension,Date,,AOC
,,,,,,,2,5765853,swastik traders,23-Dec-2025 03:09 PM,Rejected-Finance,More than Lowest bid rate,31-Dec-2025 11:09 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,2,Change in NIT condition,Other,,AOC
