Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Technical,summary,deena nath maurya,25-Aug-2025 03:23 PM,technical_1938690.pdf,01-Sep-2025,"INR 151,250",30.0,deena nath maurya,05-Jan-2026 11:59 AM,agno102.pdf (609.00 KB),AOC,D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,25-Aug-2025 04:05 PM,26-Aug-2025 11:00 AM,techsummary_1938690.pdf (914.43 KB),"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",2025_UPIDC_1063632_50,03/AEIV/2025-26,"Cleaning of Chocked Sewer Line of Resi No. Sa-1 to Resi No. 16 at Canal Colony Cantt Road, Lucknow.(Lot No.50)",1,5447570,M/S Divyansh Traders,18-Aug-2025 11:15 AM,Rejected-AOC,L2,05-Jan-2026 12:00 PM,Finance,boq,deena nath maurya,26-Aug-2025 04:31 PM,finance_1938690.pdf,BOQ Comparative Chart,D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,28-Aug-2025 04:30 PM,finsummary_1938690.pdf (914.43 KB),1.0,5444394.0,M/s Santosh Kumar Shrivastava,INR,"151,250",AOC,1.0,SBI Bank,"Cleaning of Chocked Sewer Line of Resi No. Sa-1 to Resi No. 16 at Canal Colony Cantt Road, Lucknow.(Lot No.50)","Cleaning of Chocked Sewer Line of Resi No. Sa-1 to Resi No. 16 at Canal Colony Cantt Road, Lucknow.(Lot No.50)",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,30.0,Canal Colony Lucknow,226001.0,NA ,NA ,NA ,canal Colony,No ,No,590.0,Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",03/AEIV/2025-26,2025_UPIDC_1063632_50,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"3,360",No,fixed,,Nil,Nil,08-Aug-2025 03:00 PM,18-Aug-2025 03:00 PM,08-Aug-2025 03:00 PM,18-Aug-2025 12:00 PM,08-Aug-2025 03:00 PM ,18-Aug-2025 12:00 PM ,08-Aug-2025 03:00 PM,18-Aug-2025 12:00 PM,26-Aug-2025 11:00 AM,1,Fee/PreQual/Technical,.pdf,Fee/EMD/Technical,Assistant Engineer IV,LDSC Lucknow.,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,5444394,M/s Santosh Kumar Shrivastava,18-Aug-2025 10:13 AM,Accepted-AOC,L1,05-Jan-2026 12:00 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,AOC
