Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,2025_REDUP_1096291_2,Notice No. 1946 date 24-11-2025,Construction of road and nali at Jhalwa Jinious school to Mishra ji house to Anjani Yadav house,1.0,5726289.0,m/s dinesh singh,INR,"1,057,789.5",1,5726306,LAL BABOO SINGH,09-Dec-2025 06:49 PM,Rejected-Finance,Higher,02-Jan-2026 03:47 PM,07-Jan-2026,"INR 1,057,789.5",90.0,Satyaprakash Mishra,08-Jan-2026 04:36 PM,dines.pdf (238.00 KB),AWARD OF CONTRACT,Er SP Mishra,Internal,Er DP Mishra,Satyaprakash Mishra,02-Jan-2026 03:47 PM,finsummary_2018037.pdf (448.44 KB),Technical,d,Satyaprakash Mishra,19-Dec-2025 12:10 PM,,Er SP Mishra,Internal,Er DP Mishra,Satyaprakash Mishra,19-Dec-2025 12:28 PM,20-Dec-2025 04:00 PM,techsummary_2018037.pdf (557.73 KB),Finance,d,Satyaprakash Mishra,02-Jan-2026 03:27 PM,,BOQ Comparative Chart,AOC,04-Dec-2025 06:10 PM,11-Dec-2025 01:00 PM,04-Dec-2025 06:10 PM,10-Dec-2025 05:00 PM,NA ,NA ,04-Dec-2025 06:10 PM,10-Dec-2025 05:00 PM,20-Dec-2025 04:00 PM,eeredallahabad,eeredallahabad,1.0,SBI Bank,Construction of road and nali at Jhalwa Jinious school to Mishra ji house to Anjani Yadav house,Construction of road and nali at Jhalwa Jinious school to Mishra ji house to Anjani Yadav house,Please refer Tender documents. ,NA ,"10,60,000",Civil Works,NA ,Tender,90.0,90.0,eeredallahabad,211002.0,NA ,NA ,NA ,eeredallahabad,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,Notice No. 1946 date 24-11-2025,2025_REDUP_1096291_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,500",Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,pdf,"22,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,2,5726289,m/s dinesh singh,09-Dec-2025 06:34 PM,Accepted-AOC,AWARD,08-Jan-2026 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,xls,,,,,,,AOC
