Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Tender Stage
Technical,Technical bid open,Sujit Kumar Sinha,16-Jan-2026 03:54 PM,technical_2035717.pdf,24-Jan-2026,"INR 996,146.3",180.0,Sujit Kumar Sinha,28-Jan-2026 03:44 PM,V_10.pdf (76.00 KB),Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,20-Jan-2026 02:38 PM,21-Jan-2026 02:00 PM,techsummary_2035717.pdf (393.47 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2026_REDUP_1103770_10,"891/RED/Etender(24)/2025-26, Dt. 16.12.2025","Gram Panchayat Kadsar Bitaura me Anees ke ghar se Rakeem ke ghar tak interlocking nirman karya, Block-Kaisarganj_10qGram Panchayat Kadsar Bitaura me Anees ke ghar se Rakeem ke ghar tak interlocking nirman karya, Block-Kaisarganj_10",1,5796439,M/s Vaishnavi Construction,13-Jan-2026 04:54 PM,Rejected-Finance,High,21-Jan-2026 04:48 PM,1.0,5796422.0,Smt. Vandana Singh,INR,"996,146.3",Finance,Financial bid open,Sujit Kumar Sinha,21-Jan-2026 03:57 PM,finance_2035717.pdf,BOQ Comparative Chart,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,21-Jan-2026 04:48 PM,finsummary_2035717.pdf (44.33 KB),AOC,"16,900",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"891/RED/Etender(24)/2025-26, Dt. 16.12.2025",2026_REDUP_1103770_10,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,05-Jan-2026 12:00 PM,16-Jan-2026 12:30 PM,05-Jan-2026 12:00 PM,16-Jan-2026 12:00 PM,NA ,NA ,05-Jan-2026 12:00 PM,16-Jan-2026 12:00 PM,21-Jan-2026 02:00 PM,1,Fee/PreQual/Technical,.pdf,Technical bid open,"Gram Panchayat Kadsar Bitaura me Anees ke ghar se Rakeem ke ghar tak interlocking nirman karya, Block-Kaisarganj_10qGram Panchayat Kadsar Bitaura me Anees ke ghar se Rakeem ke ghar tak interlocking nirman karya, Block-Kaisarganj_10","Gram Panchayat Kadsar Bitaura me Anees ke ghar se Rakeem ke ghar tak interlocking nirman karya, Block-Kaisarganj_10",Please refer Tender documents. ,NA ,"8,45,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Enginer, R.E.D. Bahraich",No ,No,788.0,Nil,Nil,No,1.0,SBI Bank,Executive Enginer,"Office of the Executive Enginer, R.E.D. Bahraich",AOC
,,,,,,,,,,,,,,,,,,,,,,2,5796422,Smt. Vandana Singh,12-Jan-2026 10:37 PM,Accepted-AOC,AOC,28-Jan-2026 03:44 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
