Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,Fee/PreQual/Technical,.pdf,NIT,1.0,SBI Bank,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-3 Faizabad,53/GM-3/UPPCL/2025-26 DATE-17.12.2025,2025_UPPRC_1101030_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,23-Dec-2025 10:00 AM,31-Dec-2025 04:00 PM,23-Dec-2025 10:00 AM,31-Dec-2025 03:00 PM,NA ,NA ,23-Dec-2025 10:00 AM,31-Dec-2025 03:00 PM,05-Jan-2026 12:00 PM,"17,700",Nil,Nil,No,General Manager Zone-3 UPPCL Lucknow,Office of the General Manager Zone-3 UPPCL Lucknow,"4,29,000",No,fixed,,Nil,Nil,"Fire Fighting work (Fire Alarm, Wet Riser / Hydrant and Sprinkler System) At CHC Dudhahi, Sapaha and Vishunpura Distt- Kushinagar","Fire Fighting work (Fire Alarm, Wet Riser / Hydrant and Sprinkler System) At CHC Dudhahi, Sapaha and Vishunpura Distt- Kushinagar",As per Bid Documents ,NA ,"2,14,60,000",Civil Works - Others,Fire Fighting Work ,Tender,90.0,180.0,Kushinagar,274403.0,NA ,NA ,NA ,Office of the General Manager Zone-3 UPPCL Lucknow,No ,No,AOC,General Manager Zone-3 UPPCL Lko,Internal,Attached,ANIL KUMAR SINGH,20-Jan-2026 12:46 PM,finsummary_2029183.pdf (3651.89 KB),Technical,Attached,ANIL KUMAR SINGH,02-Jan-2026 03:48 PM,technical_2029183.pdf,General Manager Zone-3 UPPCL Lko,Internal,Attached,ANIL KUMAR SINGH,02-Jan-2026 03:57 PM,05-Jan-2026 12:00 PM,techsummary_2029183.pdf (3651.89 KB),Finance,Attached,ANIL KUMAR SINGH,20-Jan-2026 12:44 PM,finance_2029183.pdf,BOQ Comparative Chart,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-3 Faizabad,2025_UPPRC_1101030_1,53/GM-3/UPPCL/2025-26 DATE-17.12.2025,"Fire Fighting work (Fire Alarm, Wet Riser / Hydrant and Sprinkler System) At CHC Dudhahi, Sapaha and Vishunpura Distt- Kushinagar",1.0,5778837.0,ACE INFRATECH,INR,"21,124,920.97",1,5778837,ACE INFRATECH,30-Dec-2025 01:13 PM,Accepted-AOC,L1,20-Jan-2026 12:49 PM,20-Jan-2026,"INR 21,124,920.97",180.0,ANIL KUMAR SINGH,20-Jan-2026 12:49 PM,ACE.pdf (3707.00 KB),L1,AOC
2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5780248,V P CONSTRUCTION,30-Dec-2025 01:09 PM,Rejected-Finance,L2,20-Jan-2026 12:46 PM,,,,,,,,AOC
