S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Corrigendum 1,Date,,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/417 DT-02/09/2025,2025_YEIDA_1072526_13,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,840.0,Nil,Nil,No,10-Sep-2025 06:55 PM,06-Oct-2025 11:00 AM,10-Sep-2025 06:55 PM,03-Oct-2025 05:00 PM,NA ,NA ,10-Sep-2025 06:55 PM,03-Oct-2025 05:00 PM,17-Nov-2025 04:45 PM,"37,000",No,fixed,,Nil,Nil,Prosposed Interlocking tiles work including Construction of drain in Village-Unchi Dankaur yea.WC-06,Prosposed Interlocking tiles work including Construction of drain in Village-Unchi Dankaur yea.WC-06,Please refer Tender documents. ,NA ,"18,45,219",Civil Works,NA ,Tender,90.0,120.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,"2ND FLOOR ,YEIDA OFFICE",No ,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",AOC,Committee,Internal,Committee,VIKAS KUMAR,13-Jan-2026 11:29 AM,finsummary_1958000.pdf (2772.02 KB),Finance,UNDER EVALUATION,VIKAS KUMAR,13-Jan-2026 11:17 AM,,BOQ Comparative Chart,1.0,5561163.0,SHREE ENTERPRISES/ ANAND PRATAP SINGH,INR,"1,282,427.74",Yamuna Expressway Industrial Development Authority,2025_YEIDA_1072526_13,YEA/GM(PROJECT)/2025/417 DT-02/09/2025,Prosposed Interlocking tiles work including Construction of drain in Village-Unchi Dankaur yea.WC-06,1,5578705,M/S ASHA CONSTRUCTION,03-Oct-2025 04:39 PM,Rejected-Finance,L2,13-Jan-2026 11:29 AM,13-Jan-2026,"INR 1,282,427.74",120.0,VIKAS KUMAR,13-Jan-2026 11:31 AM,SHREE.pdf (2772.00 KB),L1,Technical,under evaluation,BHARAM PAL SINGH,17-Nov-2025 04:01 PM,,Committee,Internal,Committee,BHARAM PAL SINGH,17-Nov-2025 04:33 PM,17-Nov-2025 04:45 PM,techsummary_1958000.pdf (783.21 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",AOC,,,,,,,,,,,,,,,,,,,,,,2,5574529,M/s Bharti Infratech,02-Oct-2025 12:40 PM,Rejected-Technical,DISQUALIFIED,17-Nov-2025 04:33 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,AOC,,,,,,,,,,,,,,,,,,,,,,3,5579433,M/S KRISHNATRAY AND CO.,03-Oct-2025 01:32 PM,Rejected-Finance,L3,13-Jan-2026 11:29 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,AOC,,,,,,,,,,,,,,,,,,,,,,4,5561163,SHREE ENTERPRISES/ ANAND PRATAP SINGH,25-Sep-2025 03:13 PM,Accepted-AOC,L1,13-Jan-2026 11:31 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,AOC,,,,,,,,,,,,,,,,,,,,,,5,5544232,Vakshas Developers,18-Sep-2025 05:26 PM,Rejected-Finance,L4,13-Jan-2026 11:29 AM,,,,,,,,,,,,,,,,,,,,AOC
