Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
01-Sep-2025,"INR 152,649.42",30.0,deena nath maurya,05-Jan-2026 01:42 PM,agno117.pdf (497.00 KB),AOC,Technical,Summary,deena nath maurya,25-Aug-2025 03:04 PM,technical_1938678.pdf,D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,25-Aug-2025 04:19 PM,26-Aug-2025 11:00 AM,techsummary_1938678.pdf (914.43 KB),Finance,boq,deena nath maurya,26-Aug-2025 04:20 PM,finance_1938678.pdf,BOQ Comparative Chart,D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,28-Aug-2025 04:05 PM,finsummary_1938678.pdf (914.43 KB),1.0,5458012.0,M/s SVGS Enterprises,INR,"152,649.42","U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",2025_UPIDC_1063632_42,03/AEIV/2025-26,"Cleaning of Chocked Sewer Line Resi. No. 3A/1 to Resi No. 2, 2A, 23 and 17 at Canal Colony Cantt Road, Lucknow.(Lot No.42)",1,5458012,M/s SVGS Enterprises,19-Aug-2025 11:32 AM,Accepted-AOC,L1,05-Jan-2026 01:42 PM,AOC,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Fee/EMD/Technical,1.0,Date Corrigendum,Date,,08-Aug-2025 03:00 PM,19-Aug-2025 03:00 PM,08-Aug-2025 03:00 PM,19-Aug-2025 12:00 PM,08-Aug-2025 03:00 PM ,19-Aug-2025 12:00 PM ,08-Aug-2025 03:00 PM,19-Aug-2025 12:00 PM,26-Aug-2025 11:00 AM,"Cleaning of Chocked Sewer Line Resi. No. 3A/1 to Resi No. 2, 2A, 23 and 17 at Canal Colony Cantt Road, Lucknow.(Lot No.42)","Cleaning of Chocked Sewer Line Resi. No. 3A/1 to Resi No. 2, 2A, 23 and 17 at Canal Colony Cantt Road, Lucknow.(Lot No.42)",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,30.0,Canal Colony Lucknow,226001.0,NA ,NA ,NA ,canal Colony,No ,No,590.0,Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",03/AEIV/2025-26,2025_UPIDC_1063632_42,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Assistant Engineer IV,LDSC Lucknow.,"3,360",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5453747,R B KARAN SINGH,18-Aug-2025 11:13 PM,Rejected-AOC,L2,05-Jan-2026 01:42 PM,AOC,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
