Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,25-Aug-2025 04:50 PM,26-Aug-2025 11:00 AM,techsummary_1938605.pdf (914.43 KB),Technical,Summary,deena nath maurya,25-Aug-2025 01:21 PM,technical_1938605.pdf,28-Aug-2025,"INR 164,113.92",30.0,deena nath maurya,02-Jan-2026 12:40 PM,agno69.pdf (471.00 KB),AOC,1,5442948,Dayal Enterprises,17-Aug-2025 03:24 PM,Accepted-AOC,L1,02-Jan-2026 12:40 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",2025_UPIDC_1063632_25,03/AEIV/2025-26,"Repairing of T and P items with Carpenter work at First floor of Dr. Ram Manohar Lohiya Transit Hostel Telibagh, Lucknow.(Lot No.25)",1.0,5442948.0,Dayal Enterprises,INR,"164,113.92",D N Murya AEIV,Internal,D K Singh AEV,deena nath maurya,28-Aug-2025 02:55 PM,finsummary_1938605.pdf (914.43 KB),Finance,boq,deena nath maurya,26-Aug-2025 02:11 PM,finance_1938605.pdf,BOQ Comparative Chart,AOC,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",03/AEIV/2025-26,2025_UPIDC_1063632_25,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Repairing of T and P items with Carpenter work at First floor of Dr. Ram Manohar Lohiya Transit Hostel Telibagh, Lucknow.(Lot No.25)","Repairing of T and P items with Carpenter work at First floor of Dr. Ram Manohar Lohiya Transit Hostel Telibagh, Lucknow.(Lot No.25)",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,30.0,Transit hostel telibagh,226002.0,NA ,NA ,NA ,canal Colony,No ,No,08-Aug-2025 03:00 PM,18-Aug-2025 03:00 PM,08-Aug-2025 03:00 PM,18-Aug-2025 12:00 PM,08-Aug-2025 03:00 PM ,18-Aug-2025 12:00 PM ,08-Aug-2025 03:00 PM,18-Aug-2025 12:00 PM,26-Aug-2025 11:00 AM,1.0,SBI Bank,"3,340",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Fee/EMD/Technical,Assistant Engineer IV,LDSC Lucknow.,590.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,2,5440619,vajid ali,17-Aug-2025 02:26 AM,Rejected-AOC,L2,02-Jan-2026 12:40 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,AOC
