Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Ramganga Dam Circle, Kalagarh",2025_UPIDC_1081553_1,01/S.E.R.D.C./2025-26/Lot no 04,Lot04,1.0,5633709.0,Rakesh kumar,INR,"34,858,070",1,5634076,BROTHERS BIJ CONSTRUCTIONS,28-Oct-2025 10:31 AM,Rejected-Finance,Due to fourth lowest bid.,24-Dec-2025 12:06 PM,06-Jan-2026,"INR 34,858,070",365.0,Sanjeev Kumar Jha,06-Jan-2026 06:11 PM,Lot04.pdf (435.00 KB),Lowest Bid.,Sanjeev Kumar Jha,Internal,Dileep Kumar Chaturvedi,Sanjeev Kumar Jha,24-Dec-2025 12:06 PM,finsummary_1980074.pdf (306.19 KB),Technical,All Documents have been downloaded for the Technical Evaluation.,Sanjeev Kumar Jha,28-Oct-2025 05:27 PM,,Sanjeev Kumar Jha,Internal,Dileep Kumar Chaturvedi,Sanjeev Kumar Jha,01-Nov-2025 04:39 PM,04-Nov-2025 03:00 PM,techsummary_1980074.pdf (410.48 KB),Finance,Documents have been downloaded for financial evaluation.,Sanjeev Kumar Jha,08-Dec-2025 03:59 PM,,BOQ Comparative Chart,AOC,"8,30,000",No,fixed,,Nil,Nil,10-Oct-2025 10:00 AM,28-Oct-2025 03:00 PM,10-Oct-2025 10:00 AM,28-Oct-2025 12:30 PM,NA ,NA ,10-Oct-2025 10:00 AM,28-Oct-2025 12:30 PM,04-Nov-2025 03:00 PM,Superintending Engineer,"O/O Superintending Engineer, Ramganga Dam Circle, Kalagarh, Pauri Garhwal, Uttarakhand 246142","2,354",Nil,Nil,No,Lot04,Renovation work of A type houses in Kalagarh Irrigation department colony,Please refer Tender documents. ,NA ,"4,15,00,000",Civil Works - Buildings,NA ,Tender,90.0,365.0,"New Colony, Kalagarh",246142.0,Kalagarh ,"O/O Superintending Engineer, Ramganga Dam Circle, Kalagarh, Pauri Garhwal, Uttarakhand 246142 ",15-Oct-2025 12:00 PM ,O/O S.E.R.D.C Kalagarh,No ,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Tender Document,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Ramganga Dam Circle, Kalagarh",01/S.E.R.D.C./2025-26/Lot no 04,2025_UPIDC_1081553_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,5633759,K K CONTRACTOR,28-Oct-2025 10:37 AM,Rejected-Technical,Rejected due to inadequate work experience,01-Nov-2025 04:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5631268,M/S RAJPAL SINGH CONTRACTOR,28-Oct-2025 10:07 AM,Rejected-Finance,Due to third lowest bid.,24-Dec-2025 12:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5629989,pawan kumar,27-Oct-2025 02:23 PM,Rejected-Finance,Due to second lowest bid.,24-Dec-2025 12:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5633709,Rakesh kumar,28-Oct-2025 12:12 PM,Accepted-AOC,Lowest Bid,06-Jan-2026 06:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
