Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
26-Nov-2025,"INR 309,912.5",20.0,PRAMOD KUMAR,19-Jan-2026 02:44 PM,nit6lot11.pdf (14276.00 KB),AOC,Technical,Summary Attached,PRAMOD KUMAR,28-Oct-2025 02:05 PM,technical_1982564.pdf,SHRI PRAMOD KUMAR EE MCD MZP,Internal,"SHRI PRAMOD KUMAR, EXECUTIVE ENGINEER, MIRZAPUR CANAL DIVISION,MIRZAPUR SHRI HARISHANKAR PRASAD, EXECUTIVE ENGINEER, IRRIGATON DIVISION CHUNAR, MIRZAPUR SHRI RAVINDRA KUMAR VERMA , DAO, MCD MZP",PRAMOD KUMAR,28-Oct-2025 03:38 PM,31-Oct-2025 02:00 PM,techsummary_1982564.pdf (244.72 KB),Finance,Summary Attached,PRAMOD KUMAR,10-Nov-2025 01:52 PM,finance_1982564.pdf,BOQ Comparative Chart,SHRI PRAMOD KUMAR EE MCD MZP,Internal,"SHRI PRAMOD KUMAR, EXECUTIVE ENGINEER, MIRZAPUR CANAL DIVISION,MIRZAPUR SHRI HARISHANKAR PRASAD, EXECUTIVE ENGINEER, IRRIGATON DIVISION CHUNAR, MIRZAPUR SHRI RAVINDRA KUMAR VERMA , DAO, MCD MZP",PRAMOD KUMAR,11-Nov-2025 03:19 PM,finsummary_1982564.pdf (244.72 KB),1.0,5620174.0,M/S VINOD KUMAR PANDEY,INR,"309,912.5",1,5619544,ACM CONSTRUCTION,19-Oct-2025 07:37 PM,Rejected-Finance,Higher Rate In The Tender,11-Nov-2025 03:19 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Mirzapur||MCD, mirzaprur",2025_UPIDC_1082497_11,Tender Notice No-06-EE-2025-26,NIT-06-EEMCD-2025-26 LOT-11,AOC,NIT-06-EEMCD-2025-26 LOT-11,Estimate for Jungle Clearance in outer section and Scraping in internal section of Dhoba pump canal From Km. 0.000 to km. 10.400 LOT-11,Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,90.0,20.0,SONEBHADRA,231216.0,NA ,NA ,NA ,Office of The EE MCD,No ,No,1.0,SBI Bank,354.0,Nil,Nil,No,"10,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Technical Document,15-Oct-2025 02:00 PM,21-Oct-2025 12:00 PM,15-Oct-2025 03:00 PM,21-Oct-2025 11:00 AM,NA ,NA ,15-Oct-2025 03:00 PM,21-Oct-2025 11:00 AM,31-Oct-2025 02:00 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Mirzapur||MCD, mirzaprur",Tender Notice No-06-EE-2025-26,2025_UPIDC_1082497_11,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,EE MCD,E.E Mcd Irrigation Coloney Fatahan Mirzapur,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5620366,ARUN CONSTRUCTION,21-Oct-2025 08:50 AM,Rejected-Finance,Higher Rate In The Tender,11-Nov-2025 03:19 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5618773,J S CONSTRUCTION COMPANY,19-Oct-2025 01:01 PM,Rejected-Finance,Higher Rate In The Tender,11-Nov-2025 03:19 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5620174,M/S VINOD KUMAR PANDEY,20-Oct-2025 12:39 PM,Accepted-AOC,AOC,19-Jan-2026 02:44 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5619199,SANTOSH KUMAR,19-Oct-2025 04:59 PM,Rejected-Finance,Higher Rate In The Tender,11-Nov-2025 03:19 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5619347,SHIVA NAND DUBEY,19-Oct-2025 06:25 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,28-Oct-2025 02:05 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5619531,SHRADDHA CONSTRUCTION,19-Oct-2025 08:21 PM,Rejected-Finance,Higher Rate In The Tender,11-Nov-2025 03:19 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5619461,SHYAM NARAYAN,19-Oct-2025 07:55 PM,Rejected-Finance,Higher Rate In The Tender,11-Nov-2025 03:19 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5620432,VIR VIKRAM YADAV,20-Oct-2025 05:40 PM,Rejected-Finance,Higher Rate In The Tender,11-Nov-2025 03:19 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
