Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
08-Jan-2026,"INR 3,247,849.91",120.0,Rakesh Kumar Rawat,27-Jan-2026 03:12 PM,sikD.pdf (582.00 KB),Work Award,UP STATE WAREHOUSING CORPORATION,2025_UPSWC_1096251_1,2025122616-4,Repair/Construction of UPSWC Godowns at Sikandrabad Part-D,1.0,5759145.0,JAFARGANJ CONSTRUCTION,INR,"3,247,849.91",1,5756337,Ankur Constructions,19-Dec-2025 11:09 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 03:12 PM,Finance,Financial Bid Result,Madan Pal Singh,02-Jan-2026 12:41 PM,finance_2017940.pdf,BOQ Comparative Chart,Sachiv,Internal,"Sachiv (Chairperson), In Charge E.E.-Civil (Co-Ordinator), Manager Fin., Dy. Manager Fin.(Manish Sonkar), Sr. Acc. Officer (Suraj Rai), Sr. Acc. Officer (Rakesh Rawat), J.E. Civil, N.C.Joshi(Jr. Ass.)",Madan Pal Singh,30-Dec-2025 08:26 PM,31-Dec-2025 02:00 PM,techsummary_2017940.pdf (465.51 KB),Technical,Technical Bid Result,Madan Pal Singh,30-Dec-2025 07:22 PM,technical_2017940.pdf,Sachiv,Internal,"Junior Office Assistant, Junior Engineer, Rakesh Kumar Rawat Senior Account Officer, Suraj Rai Senior Account Officer,Dy. Manager Finance, Manager Finance, Incharge Excutive Engineer",Madan Pal Singh,02-Jan-2026 03:24 PM,finsummary_2017940.pdf (716.48 KB),AOC,"76,500",No,fixed,,U.P. State warehousing corporation,Lucknow,Repair/Construction of UPSWC Godowns at Sikandrabad Part-D,Repair/Construction of UPSWC Godowns at Sikandrabad Part-D,Only registered contractor with UPSWC can apply ,NA ,"38,21,000",Civil Works,Maintenance /Construction Work ,Tender,90.0,120.0,Sikandrabad,203205.0,Head Office UPSWC ,U.P. State warehousing corporation New Hyderabad Lucknow 226007 ,18-Dec-2025 02:00 PM ,Head Office UPSWC,No ,No,05-Dec-2025 06:00 PM,22-Dec-2025 10:00 AM,05-Dec-2025 06:00 PM,20-Dec-2025 06:00 PM,NA ,NA ,05-Dec-2025 06:00 PM,20-Dec-2025 06:00 PM,31-Dec-2025 02:00 PM,1.0,RTGS - RTGS Payment,"1,180",U.P. State warehousing corporation,Lucknow,No,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,UP STATE WAREHOUSING CORPORATION,2025122616-4,2025_UPSWC_1096251_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Managing Director UPSWC,U.P. State warehousing corporation New Hyderabad Lucknow 226007,AOC
,,,,,,,,,,,,,,,,2,5753908,A.T.CONS.,17-Dec-2025 09:33 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5749482,BIJNOR CONSTRUCTION and SUPPLIERS,17-Dec-2025 11:25 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5759145,JAFARGANJ CONSTRUCTION,20-Dec-2025 02:37 PM,Accepted-AOC,Selected From lottery system,27-Jan-2026 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5754021,MAA DURGA CONSTRUCTION,17-Dec-2025 10:30 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5755842,M/S A.N CONSTRUCTIONS,18-Dec-2025 10:35 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,5757971,M/S KRISHNA TRADERS,19-Dec-2025 09:23 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,5753924,M/S MAS CONSTRUCTION,17-Dec-2025 09:37 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,5757746,M/s satyavir singh contractor,19-Dec-2025 07:54 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,5757274,M/S YASH ENTERPRISES,19-Dec-2025 04:26 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,5758244,SARVESH KUMAR SINGH,20-Dec-2025 12:37 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,12,5758230,S.D ENTERPRISES,20-Dec-2025 12:28 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,13,5758214,SHAHRUKH KHAN ENGINEERS AND SUPPLIERS,20-Dec-2025 12:09 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,14,5759069,SHIVA ASSOCIATES,20-Dec-2025 02:14 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,15,5757597,SHRI FAHEEMUDDIN,19-Dec-2025 06:48 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,16,5753691,SPACE ENGINEERS AND CONTRACTORS,17-Dec-2025 07:04 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Dec-2025 07:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,17,5754233,STAR BUILDERS,19-Dec-2025 11:39 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Dec-2025 07:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,18,5755631,SUMAN ENTERPRISES,18-Dec-2025 09:22 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
