S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,DD - Demand Draft,"2,000",EO NP SUKRAULI,NP SUKRAULI,No,1.0,Fee/PreQual/Technical,.pdf,NIT,EO NP SUKRAULI,EO NP SUKRAULI,"58,000",No,fixed,,EO NP SUKRAULI,NP SUKRAULI,WARD NO 12 SHASTRI NAGAR ME ANTYESTHI STHAL NIRMAD KARYA,WARD NO 12 SHASTRI NAGAR ME ANTYESTHI STHAL NIRMAD KARYA,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,60.0,NA ,WARD NO 12 SHASTRI NAGAR,274207.0,NA ,NA ,NA ,NP SUKRAULI,No ,No,09-Jan-2026 01:00 PM,19-Jan-2026 03:00 PM,09-Jan-2026 01:30 PM,19-Jan-2026 02:00 PM,NA ,NA ,09-Jan-2026 02:00 PM,19-Jan-2026 02:00 PM,21-Jan-2026 12:00 PM,Directorate of Local Bodies UP||Nagar Panchayat Sukrauli Kushinagar,290-1,2026_DOLBU_1104823_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC,SARVESH KUMAR SRIVASTAVA,Internal,EO NP SUKRAULI JE NP SUKRAULI,Sarvesh Kumar Srivastava,19-Jan-2026 04:55 PM,21-Jan-2026 12:00 PM,techsummary_2038359.pdf (68.09 KB),Finance,Financial Bid opening summary,Sarvesh Kumar Srivastava,21-Jan-2026 04:59 PM,finance_2038359.pdf,BOQ Comparative Chart,SARVESH KUMAR SRIVASTAVA,Internal,EO NP SUKRAULI JE NP SUKRAULI,Sarvesh Kumar Srivastava,21-Jan-2026 05:03 PM,finsummary_2038359.pdf (144.66 KB),Technical,Tech.Bid opening summary,Sarvesh Kumar Srivastava,19-Jan-2026 04:51 PM,technical_2038359.pdf,1,5813655,A K ASSOCIATE,19-Jan-2026 12:11 PM,Rejected-Finance,HIGHEST BID,21-Jan-2026 05:03 PM,Directorate of Local Bodies UP||Nagar Panchayat Sukrauli Kushinagar,2026_DOLBU_1104823_1,290-1,WARD NO 12 SHASTRI NAGAR ME ANTYESTHI STHAL NIRMAD KARYA,1.0,5813745.0,vijay constructions,INR,"2,433,259.73",21-Jan-2026,"INR 2,433,259.73",60.0,Sarvesh Kumar Srivastava,21-Jan-2026 05:08 PM,FIN.pdf (271.00 KB),Create the agreement on stamp paper and done the job in 60 days,AOC
2,FDR - Fixed Deposit,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5813566,M/S PANKJA CONSTRUCTION,19-Jan-2026 11:56 AM,Rejected-Finance,HIGHEST BID,21-Jan-2026 05:03 PM,,,,,,,,,,,,,,,,,AOC
3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5813745,vijay constructions,19-Jan-2026 01:09 PM,Accepted-AOC,LOWEST BID,21-Jan-2026 05:08 PM,,,,,,,,,,,,,,,,,AOC
