Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
589.0,Nil,Nil,No,"2,000",Yes,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Rapti CC Circle-2, Basti||SCD, bansi",01/EESNKBANSI/2025-26,2025_UPIDC_1079830_10,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,SARYU NAHAR KHAND BANSI SIDDHARTH NAGAR,SARYU NAHAR KHAND BANSI SIDDHARTH NAGAR,Silt Scraping and jungle clearance of Gulhaura mr km. 0.00 to km. 4.000,Silt Scraping and jungle clearance of Gulhaura mr km. 0.00 to km. 4.000,Please refer Tender documents. ,NA ,"1,10,000",Civil Works - Canal,NA ,Rate Contract,90.0,20.0,SIDDHARTH NAGAR,272153.0,NA ,NA ,NA ,SARYU NAHAR KHAND BANSI SIDDHARTH NAGAR,No ,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,01-Nov-2025 01:00 PM,07-Nov-2025 03:00 PM,01-Nov-2025 01:00 PM,07-Nov-2025 01:00 PM,NA ,NA ,01-Nov-2025 01:00 PM,07-Nov-2025 01:00 PM,11-Nov-2025 12:00 PM,AOC,1,5649763,S K TRADER,INR,"92,954.43",Birendra Paswan,Internal,,Birendra Paswan,01-Jan-2026 12:53 PM,finsummary_1994907.pdf (165.94 KB),Finance,As per Upload,Birendra Paswan,01-Jan-2026 12:39 PM,finance_1994907.pdf,BOQ Comparative Chart,1,5655756,M/S OM PRAKASH,05-Nov-2025 06:25 PM,Accepted-AOC,As per Upload,01-Jan-2026 03:20 PM,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Rapti CC Circle-2, Basti||SCD, bansi",2025_UPIDC_1079830_10,01/EESNKBANSI/2025-26,Silt Scraping and jungle clearance of Gulhaura mr km. 0.00 to km. 4.000,01-Jan-2026,"INR 92,954.43",20.0,Birendra Paswan,01-Jan-2026 03:20 PM,10.pdf (281.00 KB),Technical,As per Upload,Birendra Paswan,10-Nov-2025 04:59 PM,technical_1994907.pdf,Birendra Paswan,Internal,,Birendra Paswan,10-Nov-2025 05:05 PM,11-Nov-2025 12:00 PM,techsummary_1994907.pdf (317.71 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC,2,5655062,pandey construction and labour supplier,INR,"105,061.68",,,,,,,,,,,,,2,5659211,M/S SRI LAXMI NARAYAN CONSTRUCTION,06-Nov-2025 07:25 PM,Accepted-AOC,As per Upload,01-Jan-2026 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,5655756,M/S OM PRAKASH,INR,"109,011.51",,,,,,,,,,,,,3,5659192,M/S S S ENTERPRISES,06-Nov-2025 06:57 PM,Accepted-AOC,As per Upload,01-Jan-2026 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,5659192,M/S S S ENTERPRISES,INR,"100,467.78",,,,,,,,,,,,,4,5655062,pandey construction and labour supplier,05-Nov-2025 03:43 PM,Accepted-AOC,As per Upload,01-Jan-2026 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,5659211,M/S SRI LAXMI NARAYAN CONSTRUCTION,INR,"97,229.52",,,,,,,,,,,,,5,5649763,S K TRADER,06-Nov-2025 07:26 PM,Accepted-AOC,As per Upload,01-Jan-2026 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
