Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,1903/RED Tender KUSHINAGAR,2026_REDUP_1105798_11,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Vikas Khand Padrauna ke Gram Sabha Pradhanpatti me main sadak se Jagarnath Gond ke ghar tak 150 meter C.C. sadak ka nirman karya.,Vikas Khand Padrauna ke Gram Sabha Pradhanpatti me main sadak se Jagarnath Gond ke ghar tak 150 meter C.C. sadak ka nirman karya.,Please refer Tender documents. ,NA ,"11,89,000",Civil Works,NA ,Tender,90.0,90.0,work,274302.0,NA ,NA ,NA ,EE RED KUSHINAGAR,No ,No,EE RED KUSHINAGAR,EE RED KUSHINAGAR,752.0,Nil,Nil,No,1.0,SBI Bank,13-Jan-2026 03:00 PM,19-Jan-2026 03:00 PM,13-Jan-2026 03:00 PM,19-Jan-2026 12:00 PM,NA ,NA ,13-Jan-2026 03:00 PM,19-Jan-2026 12:00 PM,22-Jan-2026 09:00 AM,"24,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,AOC,1,5808832,M/s Bindu Devi,16-Jan-2026 08:32 PM,Accepted-AOC,L1,22-Jan-2026 05:36 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2026_REDUP_1105798_11,1903/RED Tender KUSHINAGAR,Vikas Khand Padrauna ke Gram Sabha Pradhanpatti me main sadak se Jagarnath Gond ke ghar tak 150 meter C.C. sadak ka nirman karya.,1.0,5808832.0,M/s Bindu Devi,INR,100.0,EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,22-Jan-2026 04:29 PM,finsummary_2040465.pdf (146.61 KB),Finance,Bid Opening Summary,Virendra Kumar Pandey,22-Jan-2026 10:43 AM,,BOQ Comparative Chart,EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,21-Jan-2026 08:27 PM,22-Jan-2026 09:00 AM,techsummary_2040465.pdf (787.97 KB),Technical,Bid Opening Summary,Praveen Kumar,21-Jan-2026 07:27 PM,,22-Jan-2026,INR 100,90.0,Virendra Kumar Pandey,22-Jan-2026 05:36 PM,11.pdf (147.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,AOC,2,5810145,SHRI SURYA BLOCKS,16-Jan-2026 09:25 PM,Rejected-Finance,L2,22-Jan-2026 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
