Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
09-Jan-2026,"INR 2,928,590.7",90.0,Rakesh Kumar Rawat,27-Jan-2026 12:47 PM,gajB.pdf (614.00 KB),Work Award,1.0,5757691.0,M/s satyavir singh contractor,INR,"2,928,590.7",UP STATE WAREHOUSING CORPORATION,2025_UPSWC_1096057_1,2025122610-2,Repair/Construction of UPSWC Godowns at Gajraula (Amroha) Part-B,1,5756111,Ankur Constructions,19-Dec-2025 08:26 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 12:47 PM,Technical,Technical Bid Result,Madan Pal Singh,30-Dec-2025 06:39 PM,technical_2017542.pdf,Sachiv,Internal,"Junior Office Assistant, Junior Engineer, Rakesh Kumar Rawat Senior Account Officer, Suraj Rai Senior Account Officer,Dy. Manager Finance, Manager Finance, Incharge Excutive Engineer",Madan Pal Singh,02-Jan-2026 02:41 PM,finsummary_2017542.pdf (716.48 KB),Finance,Financial Bid Result,Madan Pal Singh,02-Jan-2026 02:13 PM,finance_2017542.pdf,BOQ Comparative Chart,Sachiv,Internal,"Sachiv (Chairperson), In Charge E.E.-Civil (Co-Ordinator), Manager Fin., Dy. Manager Fin.(Manish Sonkar), Sr. Acc. Officer (Suraj Rai), Sr. Acc. Officer (Rakesh Rawat), J.E. Civil, N.C.Joshi(Jr. Ass.)",Madan Pal Singh,30-Dec-2025 08:45 PM,31-Dec-2026 12:24 AM,techsummary_2017542.pdf (465.51 KB),AOC,1.0,RTGS - RTGS Payment,UP STATE WAREHOUSING CORPORATION,2025122610-2,2025_UPSWC_1096057_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"69,000",No,fixed,,U.P. State warehousing corporation,Lucknow,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,05-Dec-2025 06:00 PM,22-Dec-2025 10:00 AM,05-Dec-2025 06:00 PM,20-Dec-2025 06:00 PM,NA ,NA ,05-Dec-2025 06:00 PM,20-Dec-2025 06:00 PM,31-Dec-2025 02:00 PM,Repair/Construction of UPSWC Godowns at Gajraula (Amroha) Part-B,Repair/Construction of UPSWC Godowns at Gajraula (Amroha) Part-B,Only registered contractor with UPSWC can apply ,NA ,"34,45,401",Civil Works,Maintenance /Construction Work ,Tender,90.0,90.0,Gajraula (Amroha),244235.0,Head Office UPSWC ,U.P. State warehousing corporation New Hyderabad Lucknow 226007 ,18-Dec-2025 02:00 PM ,Head Office UPSWC,No ,No,Managing Director UPSWC,U.P. State warehousing corporation New Hyderabad Lucknow 226007,"1,180",U.P. State warehousing corporation,Lucknow,No,AOC
,,,,,,,,,,,,,,,,2,5753843,A.T.CONS.,17-Dec-2025 08:56 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5749457,BIJNOR CONSTRUCTION and SUPPLIERS,17-Dec-2025 11:09 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5759195,JAFARGANJ CONSTRUCTION,20-Dec-2025 02:54 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5754035,MAA DURGA CONSTRUCTION,17-Dec-2025 10:39 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5755883,M/S A.N CONSTRUCTIONS,18-Dec-2025 10:49 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,5759278,M/S BHAGWATI ASSOCIATES,20-Dec-2026 12:24 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,5757987,M/S KRISHNA TRADERS,19-Dec-2025 09:29 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,5753960,M/S MAS CONSTRUCTION,17-Dec-2025 09:52 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,5757691,M/s satyavir singh contractor,19-Dec-2025 07:27 PM,Accepted-AOC,Selected From lottery system,27-Jan-2026 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,5757476,M/S YASH ENTERPRISES,19-Dec-2025 05:48 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,12,5758203,SARVESH KUMAR SINGH,19-Dec-2025 11:58 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,13,5758192,S.D ENTERPRISES,19-Dec-2025 11:51 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
