Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,ok,Avnish Kumar,24-Jan-2026 12:37 PM,finance_2039738.pdf,BOQ Comparative Chart,24-Jan-2026,"INR 3,069,120",90.0,Avnish Kumar,24-Jan-2026 12:49 PM,lt.pdf (417.00 KB),1.0,5816792.0,M/S JAI CONTRACTOR & SUPPLIERS,20-Jan-2026 06:46 PM,Rejected-AOC,igh Amount Bid,24-Jan-2026 12:49 PM,1.0,5817479.0,Rajeev Maheshwari Contractors and Suppliers,INR,"3,068,813",Directorate of Local Bodies UP||Nagar Panchayat Kampil Farrukhabad,2026_DOLBU_1105478_1,540/Npkampil/2025-2,NAGAR PANCHAYAT KAMPIL ME TYUB BELL NO 2 SE SIWARA ROAD PAR GRASPUR TIRAHE TAK STREET LIGHT REPENTEF POL MAY LED LIGHTR KA ADHISTAPAN KARYA,EO JE CLERK,Internal,,Avnish Kumar,24-Jan-2026 12:38 PM,techsummary_2039738.pdf (417.48 KB),EO JE CLERK,Internal,,Avnish Kumar,24-Jan-2026 12:41 PM,finsummary_2039738.pdf (417.48 KB),AOC,"61,500",No,fixed,,Excutive Officer,Nagar Pachayat Kampil,Directorate of Local Bodies UP||Nagar Panchayat Kampil Farrukhabad,540/Npkampil/2025-2,2026_DOLBU_1105478_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Offline,No,No,No,1.0,Opening date change,Date,,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender document,"2,700",Excutive Officer,Nagar Pachayat Kampil,No,1,BC - Bankers Cheque,Executive Officer,Office Nagar Panchayat Kampil,NAGAR PANCHAYAT KAMPIL ME TYUB BELL NO 2 SE SIWARA ROAD PAR GRASPUR TIRAHE TAK STREET LIGHT REPENTEF POL MAY LED LIGHTR KA ADHISTAPAN KARYA,NAGAR PANCHAYAT KAMPIL ME TYUB BELL NO 2 SE SIWARA ROAD PAR GRASPUR TIRAHE TAK STREET LIGHT REPENTEF POL MAY LED LIGHTR KA ADHISTAPAN KARYA,Please refer Tender documents. ,NA ,"30,69,121",Civil Works,NA ,Tender,90.0,NA ,Nagar Panchayat Kampil,209505.0,NA ,NA ,NA ,Nagar Panchayat Kampil,No ,No,12-Jan-2026 10:00 AM,22-Jan-2026 04:00 PM,12-Jan-2026 10:00 AM,22-Jan-2026 02:00 PM,NA ,NA ,12-Jan-2026 10:00 AM,22-Jan-2026 02:00 PM,AOC
,,,,,,,,,,,,2.0,5817479.0,Rajeev Maheshwari Contractors and Suppliers,21-Jan-2026 12:56 PM,Accepted-AOC,L1,24-Jan-2026 12:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,2,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,3.0,5817732.0,Shri Dhar Contractor And Supplier,21-Jan-2026 03:03 PM,Rejected-AOC,igh Amount Bid,24-Jan-2026 12:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
