Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
eo and je,BENIGANJ,1,DD - Demand Draft,Directorate of Local Bodies UP||Nagar Panchayat Beniganj Hardoi,839/CJNY/ETENDRING/2025-26,2026_DOLBU_1105470_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,2-npb me np seemantargat pipri road par vishnu ke baag ke aage se mahipal ke khet tak rcc road covered drain ka nirman karya,2-npb me np seemantargat pipri road par vishnu ke baag ke aage se mahipal ke khet tak rcc road covered drain ka nirman karya,Please refer Tender documents. ,NA ,"99,11,000",Civil Works,NA ,Tender,30.0,90.0,NAGAR PANCHAYAT BENIGANJ,241304.0,NA ,NA ,NA ,BENIGANJ,No ,No,1.0,Fee/PreQual/Technical,.pdf,TECH,"1,98,216",No,fixed,,ADHISHASHI ADHIKARI NAGAR PANCHAYAT,BENIGANJ,12-Jan-2026 09:00 AM,30-Jan-2026 09:00 AM,12-Jan-2026 09:00 AM,30-Jan-2026 09:00 AM,NA ,NA ,12-Jan-2026 09:00 AM,30-Jan-2026 09:00 AM,31-Jan-2026 05:40 PM,"9,911",ADHISHASHI ADHIKARI NAGAR PANCHAYAT,BENIGANJ,No,AOC,Technical,3 admitted,Vijay kumar tiwari,31-Jan-2026 05:33 PM,,eo and je,Internal,,Vijay kumar tiwari,31-Jan-2026 06:12 PM,finsummary_2039731.pdf (398.22 KB),Finance,WINNER ARUN KUMAR SINGH,Vijay kumar tiwari,31-Jan-2026 06:09 PM,,BOQ Comparative Chart,eo and je,Internal,,Vijay kumar tiwari,31-Jan-2026 05:39 PM,31-Jan-2026 05:40 PM,techsummary_2039731.pdf (766.16 KB),31-Jan-2026,"INR 9,910,846.8",90.0,Vijay kumar tiwari,31-Jan-2026 06:25 PM,2.pdf (398.00 KB),1.0,5831466.0,ARUN KUMAR SINGH,30-Jan-2026 12:12 AM,Accepted-AOC,L1,31-Jan-2026 06:25 PM,Directorate of Local Bodies UP||Nagar Panchayat Beniganj Hardoi,2026_DOLBU_1105470_1,839/CJNY/ETENDRING/2025-26,2-npb me np seemantargat pipri road par vishnu ke baag ke aage se mahipal ke khet tak rcc road covered drain ka nirman karya,1.0,5831466.0,ARUN KUMAR SINGH,INR,"9,908,864.63",AOC
,,2,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5831559.0,GAURAV SINHA,29-Jan-2026 07:56 PM,Rejected-AOC,L2,31-Jan-2026 06:25 PM,,,,,,,,,,AOC
,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5832013.0,GIRIRAJJI ENTERPRISES,29-Jan-2026 09:55 PM,Rejected-AOC,L3,31-Jan-2026 06:25 PM,,,,,,,,,,AOC
,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5831924.0,m/s Sandeep shukla,29-Jan-2026 09:39 PM,Not Admitted-Fee/PreQual/Technical,Others-physical document not submitted to the department for verification,31-Jan-2026 05:33 PM,,,,,,,,,,AOC
,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
