Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE MAINPURI,2026_REDUP_1104450_4,2124/EE/RED/2025-26/30-12-2025,"Const. Of C. C Road and nali from H/o. Shaitan singh to H/o. Kuvarpal singh in vill.Laxmipur(G.P. Sahara), Mainpuri.",1.0,5801778.0,M/s HUKAM SHREE CONTRACTOR,INR,"417,212",1,5801778,M/s HUKAM SHREE CONTRACTOR,13-Jan-2026 03:08 PM,Accepted-AOC,L-1,27-Jan-2026 04:30 PM,27-Jan-2026,"INR 417,212",90.0,Nuzahat Parveen,27-Jan-2026 04:30 PM,LAXMI_0001.pdf (246.00 KB),Er.Nuzhat Parveen,Internal,"A.E.RED,D.A.O.RED",Nuzahat Parveen,14-Jan-2026 04:07 PM,19-Jan-2026 10:00 AM,techsummary_2037580.pdf (304.81 KB),Finance,Financial bid,Nuzahat Parveen,19-Jan-2026 11:04 AM,,BOQ Comparative Chart,Er.Nuzhat Parveen,Internal,"A.E.RED,D.A.O.RED",Nuzahat Parveen,20-Jan-2026 05:15 PM,finsummary_2037580.pdf (304.00 KB),Technical,02 BIDS RECIVED,Nuzahat Parveen,14-Jan-2026 03:41 PM,,AOC,09-Jan-2026 10:00 AM,14-Jan-2026 02:30 PM,09-Jan-2026 10:00 AM,14-Jan-2026 02:00 PM,NA ,NA ,09-Jan-2026 10:00 AM,14-Jan-2026 02:00 PM,19-Jan-2026 10:00 AM,"9,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,677.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Technical bid,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE MAINPURI,2124/EE/RED/2025-26/30-12-2025,2026_REDUP_1104450_4,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,Executive engineer,E.E. RED OFFICE VIKAS BHAWAN MAINPURI,"Const. Of C. C Road and nali from H/o. Shaitan singh to H/o. Kuvarpal singh in vill.Laxmipur(G.P. Sahara), Mainpuri.","Const. Of C. C Road and nali from H/o. Shaitan singh to H/o. Kuvarpal singh in vill.Laxmipur(G.P. Sahara), Mainpuri.",Please refer Tender documents. ,NA ,"4,17,713",Civil Works - Roads,NA ,Tender,90.0,90.0,Mainpuri,205001.0,NA ,NA ,NA ,E.E. RED OFFICE VIKAS BHAWAN MAINPURI,No ,No,AOC
,,,,,,,,,2,5801812,M/S Sarvesh Kumar,13-Jan-2026 03:18 PM,Rejected-Finance,L-2,20-Jan-2026 05:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
