Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,01-Jan-2026 03:13 PM,02-Jan-2026 12:00 PM,techsummary_2026114.pdf (390.94 KB),06-Jan-2026,"INR 220,196.51",180.0,Sujit Kumar Sinha,19-Jan-2026 04:02 PM,21.pdf (46.00 KB),Technical,Technical bid open,Sujit Kumar Sinha,30-Dec-2025 02:02 PM,technical_2026114.pdf,Finance,Financial bid open,Sujit Kumar Sinha,02-Jan-2026 06:55 PM,finance_2026114.pdf,BOQ Comparative Chart,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,02-Jan-2026 07:01 PM,finsummary_2026114.pdf (43.94 KB),1.0,5762750.0,Smt. Vandana Singh,INR,"220,196.51",1,5762784,M/s Vaishnavi Construction,27-Dec-2025 04:52 PM,Rejected-Finance,High,02-Jan-2026 07:01 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2025_REDUP_1099756_21,"816/RED/Etender(21)/2025-26, Dt. 29.11.2025",Gram Panchayat Belhari me Mela Maidan me Highmast Light styapna karya-Phakharpur_21,AOC,1,Fee/PreQual/Technical,.pdf,Technical bid document,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"816/RED/Etender(21)/2025-26, Dt. 29.11.2025",2025_REDUP_1099756_21,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,18-Dec-2025 12:00 PM,30-Dec-2025 12:30 PM,18-Dec-2025 12:00 PM,30-Dec-2025 12:00 PM,NA ,NA ,18-Dec-2025 12:00 PM,30-Dec-2025 12:00 PM,02-Jan-2026 12:00 PM,Executive Enginer,"Office of the Executive Enginer, R.E.D. Bahraich",1.0,Date Corrigendum,Date,,596.0,Nil,Nil,No,"3,800",No,fixed,,Nil,Nil,Gram Panchayat Belhari me Mela Maidan me Highmast Light styapna karya-Phakharpur_21,Gram Panchayat Belhari me Mela Maidan me Highmast Light styapna karya-Phakharpur_21,Please refer Tender documents. ,NA ,"1,87,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Enginer, R.E.D. Bahraich",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5762750,Smt. Vandana Singh,28-Dec-2025 05:14 PM,Accepted-AOC,AOC,19-Jan-2026 04:02 PM,,,,,AOC,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
