Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Saharanpur,2026_SCIDC_1105006_1,136/EE/SRE/E-TENDER/2025-26,"Under Vidhayak Nidhi Yojna (Shri Jaswant Saini ji, MLC) Construction of CC Road and Side Drain work from Sanjay house to Harpal Mukhiya house at Vill Umri Khurd Block Rampur Maniharan, District- Saharanpur",1.0,5801659.0,sachin kumar,INR,"933,432",1,5801659,sachin kumar,13-Jan-2026 05:18 PM,Accepted-AOC,Being L1,31-Jan-2026 01:53 PM,07-Feb-2026,"INR 933,432",90.0,Vinod Kumar Kardam,31-Jan-2026 01:53 PM,aoc.pdf (1072.00 KB),"AWARD OF CONTRACT for Construction of CC Road and Side Drain work from Sanjay house to Harpal Mukhiya house at Vill Umri Khurd Block Rampur Maniharan, District- Saharanpur",Executive Engineer,Internal,"V.K. Kardam - E.E., M. Chandra - AAO",Vinod Kumar Kardam,30-Jan-2026 12:10 PM,30-Jan-2026 03:00 PM,techsummary_2038842.pdf (308.75 KB),Finance,Financial Evaluation Summary,Vinod Kumar Kardam,31-Jan-2026 01:44 PM,finance_2038842.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"V.K. Kardam - E.E., M. Chandra - AAO",Vinod Kumar Kardam,31-Jan-2026 01:51 PM,finsummary_2038842.pdf (308.75 KB),Technical,Technical Evaluation Summary,Vinod Kumar Kardam,30-Jan-2026 12:08 PM,technical_2038842.pdf,AOC,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Saharanpur,136/EE/SRE/E-TENDER/2025-26,2026_SCIDC_1105006_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,09-Jan-2026 01:00 PM,16-Jan-2026 12:00 PM,09-Jan-2026 01:00 PM,16-Jan-2026 11:00 AM,NA ,NA ,09-Jan-2026 01:00 PM,16-Jan-2026 11:00 AM,30-Jan-2026 03:00 PM,1.0,RTGS - RTGS Payment,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"1,062",UPSCIDCO,SAHARANPUR,No,"Under Vidhayak Nidhi Yojna (Shri Jaswant Saini ji, MLC) Construction of CC Road and Side Drain work from Sanjay house to Harpal Mukhiya house at Vill Umri Khurd Block Rampur Maniharan, District- Saharanpur","Under Vidhayak Nidhi Yojna (Shri Jaswant Saini ji, MLC) Construction of CC Road and Side Drain work from Sanjay house to Harpal Mukhiya house at Vill Umri Khurd Block Rampur Maniharan, District- Saharanpur",Please refer Tender documents. ,NA ,"9,33,619",Civil Works,NA ,Tender,90.0,90.0,District Saharanpur,247001.0,NA ,NA ,NA ,Executive Engineer office,No ,No,"19,000",No,fixed,,UPSCIDCO,SAHARANPUR,Executive Engineer,"Executive Engineer office - H.No.-36 Surya Nagar, Near State Bank Colony, Delhi Road Saharanpur",AOC
,,,,,,,,,2,5805069,SAINI CONTRACTORS,14-Jan-2026 10:06 PM,Rejected-Finance,Being L2,31-Jan-2026 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
