Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/408 DT-20/08/2025,2025_YEIDA_1068568_16,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",27-Aug-2025 06:55 PM,23-Sep-2025 11:00 AM,27-Aug-2025 06:55 PM,19-Sep-2025 05:00 PM,NA ,NA ,27-Aug-2025 06:55 PM,19-Sep-2025 05:00 PM,04-Nov-2025 03:00 PM,1.0,SBI Bank,"Providing and Laying Dry Brick (Khadanja) in Village- Unchi Dankaur, YEA WC-06","Providing and Laying Dry Brick (Khadanja) in Village- Unchi Dankaur, YEA WC-06",Please refer Tender documents. ,NA ,"13,76,865",Civil Works,NA ,Tender,90.0,90.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,"2ND FLOOR ,YEIDA OFFICE",No ,No,840.0,Nil,Nil,No,"27,600",No,fixed,,Nil,Nil,1.0,Corrigendum 1,Date,,AOC,1.0,5521424.0,VEDANT ENTERPRISES,INR,"1,008,278.24",Committee,Internal,Committee,BHARAM PAL SINGH,14-Jan-2026 03:11 PM,finsummary_1950312.pdf (8381.38 KB),Finance,UNDER EVALUATION,BHARAM PAL SINGH,14-Jan-2026 03:06 PM,,BOQ Comparative Chart,Yamuna Expressway Industrial Development Authority,2025_YEIDA_1068568_16,YEA/GM(PROJECT)/2025/408 DT-20/08/2025,"Providing and Laying Dry Brick (Khadanja) in Village- Unchi Dankaur, YEA WC-06",1,5546088,ANAND CONSTRUCTION,19-Sep-2025 02:55 PM,Rejected-Finance,L4,14-Jan-2026 03:11 PM,14-Jan-2026,"INR 1,008,278.24",90.0,BHARAM PAL SINGH,14-Jan-2026 03:13 PM,VEDANT.pdf (8381.00 KB),AOC,Technical,EVALUATION,BHARAM PAL SINGH,04-Nov-2025 01:27 PM,,Committee,Internal,Committee,BHARAM PAL SINGH,04-Nov-2025 01:32 PM,04-Nov-2025 03:00 PM,techsummary_1950312.pdf (989.74 KB),AOC
,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5545657,M/S JAY MANGLAM CONSTRUCTION,19-Sep-2025 12:41 PM,Rejected-Finance,L2,14-Jan-2026 03:11 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,5546108,R R ASSOCIATES,19-Sep-2025 03:13 PM,Rejected-Finance,L3,14-Jan-2026 03:11 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,5521679,SHISHPAL MALIK,08-Sep-2025 04:36 PM,Rejected-Technical,DISQUALIFIED,04-Nov-2025 01:32 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,5521424,VEDANT ENTERPRISES,08-Sep-2025 02:58 PM,Accepted-AOC,L1,14-Jan-2026 03:28 PM,,,,,,,,,,,,,,,,,,,,AOC
