S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,59.0,Nil,Nil,No,"4,000",Yes,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-32, azamgarh",04/AE-III/2025-26,2025_UPIDC_1086402_31,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,ASSISTANT ENGINEER-III,ASSISTANT ENGINEER-III SHARDA SAHAYAK KHAND-32 AZAMGARH,1,Fee/PreQual/Technical,.pdf,e-Document,Earth Work in Silt Clearance/Scraping of Mahawatgarh Mr. from Km. 0.000 to Km. 1.200,Silt Clearance/Scraping,Please refer Tender documents. ,NA ,"36,000",Civil Works,NA ,Tender,90.0,10.0,AZAMGARH,276001.0,NA ,NA ,NA ,AZAMGARH,No ,No,12-Nov-2025 11:30 AM,19-Nov-2025 11:30 AM,12-Nov-2025 11:30 AM,18-Nov-2025 05:00 PM,NA ,NA ,12-Nov-2025 11:30 AM,18-Nov-2025 05:00 PM,21-Nov-2025 02:00 PM,AOC,SHIV SHANKAR,Internal,,SHIV SHANKAR,28-Jan-2026 08:18 PM,finsummary_2001315.pdf (19.51 KB),Finance,Admitted,SHIV SHANKAR,24-Jan-2026 07:31 PM,,BOQ Comparative Chart,1.0,5682478.0,VIVEK NARAYAN PANDEY CONTRACTOR,INR,"36,277.6","U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-32, azamgarh",2025_UPIDC_1086402_31,04/AE-III/2025-26,Earth Work in Silt Clearance/Scraping of Mahawatgarh Mr. from Km. 0.000 to Km. 1.200,1,5682111,M/S. AARADHYA TRADERS,17-Nov-2025 10:31 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Nov-2025 11:52 AM,28-Jan-2026,"INR 36,000",10.0,SHIV SHANKAR,28-Jan-2026 08:20 PM,Accepted.pdf (20.00 KB),Technical,1 Not Admitted and 1 Admitted,SHIV SHANKAR,21-Nov-2025 11:52 AM,,SHIV SHANKAR,Internal,,SHIV SHANKAR,21-Nov-2025 12:30 PM,21-Nov-2025 02:00 PM,techsummary_2001315.pdf (462.45 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5682478,VIVEK NARAYAN PANDEY CONTRACTOR,18-Nov-2025 03:32 PM,Accepted-AOC,L1,28-Jan-2026 08:20 PM,,,,,,,,,,,,,,,,,,,AOC
