Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Repair/Construction of UPSWC Godowns at Aligarh Part-B,Repair/Construction of UPSWC Godowns at Aligarh Part-B,Only registered contractor with UPSWC can apply ,NA ,"69,07,530",Civil Works,Maintenance /Construction Work ,Tender,90.0,150.0,Aligarh,202001.0,Head Office UPSWC ,U.P. State warehousing corporation New Hyderabad Lucknow 226007 ,18-Dec-2025 02:00 PM ,Head Office UPSWC,No ,No,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,1.0,RTGS - RTGS Payment,UP STATE WAREHOUSING CORPORATION,2025122613-2,2025_UPSWC_1096386_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,05-Dec-2025 06:00 PM,22-Dec-2025 10:00 AM,05-Dec-2025 06:00 PM,20-Dec-2025 06:00 PM,NA ,NA ,05-Dec-2025 06:00 PM,20-Dec-2025 06:00 PM,31-Dec-2025 02:00 PM,"1,38,200",No,fixed,,U.P. State warehousing corporation,Lucknow,"1,180",U.P. State warehousing corporation,Lucknow,No,Managing Director UPSWC,U.P. State warehousing corporation New Hyderabad Lucknow 226007,AOC,Sachiv,Internal,"Junior Office Assistant, Junior Engineer, Rakesh Kumar Rawat Senior Account Officer, Suraj Rai Senior Account Officer,Dy. Manager Finance, Manager Finance, Incharge Excutive Engineer",Madan Pal Singh,02-Jan-2026 03:36 PM,finsummary_2018293.pdf (716.48 KB),Technical,Technical Bid Result,Madan Pal Singh,30-Dec-2025 07:37 PM,technical_2018293.pdf,Sachiv,Internal,"Sachiv (Chairperson), In Charge E.E.-Civil (Co-Ordinator), Manager Fin., Dy. Manager Fin.(Manish Sonkar), Sr. Acc. Officer (Suraj Rai), Sr. Acc. Officer (Rakesh Rawat), J.E. Civil, N.C.Joshi(Jr. Ass.)",Madan Pal Singh,30-Dec-2025 08:17 PM,31-Dec-2025 02:00 PM,techsummary_2018293.pdf (465.51 KB),Finance,Financial Bid Result,Madan Pal Singh,02-Jan-2026 12:19 PM,finance_2018293.pdf,BOQ Comparative Chart,1,5755775,Ankur Constructions,18-Dec-2025 10:09 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:29 PM,1.0,5755799.0,M/S A.N CONSTRUCTIONS,INR,"5,871,400.78",UP STATE WAREHOUSING CORPORATION,2025_UPSWC_1096386_1,2025122613-2,Repair/Construction of UPSWC Godowns at Aligarh Part-B,12-Jan-2026,"INR 5,871,400.78",150.0,Rakesh Kumar Rawat,27-Jan-2026 02:29 PM,aliB.pdf (598.00 KB),Work Award,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5753931,A.T.CONS.,17-Dec-2025 09:43 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:29 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5759105,AVADH KAARYA SOLUTIONS LLP,20-Dec-2025 02:26 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:29 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,5749443,BIJNOR CONSTRUCTION and SUPPLIERS,17-Dec-2025 11:04 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:29 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,5759315,DILEEP KUMAR GUPTA,20-Dec-2025 03:38 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:29 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,5759092,JAFARGANJ CONSTRUCTION,20-Dec-2025 02:20 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:29 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,5759394,JMD ENTERPRISES,20-Dec-2025 04:05 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:29 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,5753992,MAA DURGA CONSTRUCTION,17-Dec-2025 10:14 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:29 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,5758105,M/s. Aakash Enterprises,19-Dec-2025 10:31 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:29 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,5755799,M/S A.N CONSTRUCTIONS,18-Dec-2025 10:18 PM,Accepted-AOC,Selected From lottery system,27-Jan-2026 02:29 PM,,,,,,,,,,,,,,,,,AOC
