Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"6,011",ADHISHASHI ADHIKARI NAGAR PANCHAYAT,BENIGANJ,No,Directorate of Local Bodies UP||Nagar Panchayat Beniganj Hardoi,839/CJNY/ETENDRING/2025-26,2026_DOLBU_1105472_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,eo and je,BENIGANJ,3-npb me np seemantargat sbi se mahtaab ki puliya tak rcc road covered drain ka nirman karya,3-npb me np seemantargat sbi se mahtaab ki puliya tak rcc road covered drain ka nirman karya,Please refer Tender documents. ,NA ,"26,31,000",Civil Works,NA ,Tender,30.0,90.0,NAGAR PANCHAYAT BENIGANJ,241304.0,NA ,NA ,NA ,BENIGANJ,No ,No,"2,54,700",Yes,fixed,,ADHISHASHI ADHIKARI NAGAR PANCHAYAT,BENIGANJ,1,DD - Demand Draft,12-Jan-2026 09:00 AM,30-Jan-2026 09:00 AM,12-Jan-2026 09:00 AM,30-Jan-2026 09:00 AM,NA ,NA ,12-Jan-2026 09:00 AM,30-Jan-2026 09:00 AM,31-Jan-2026 05:45 PM,1.0,Fee/PreQual/Technical,.pdf,TECH,AOC,eo and je,Internal,,Vijay kumar tiwari,31-Jan-2026 06:30 PM,finsummary_2039732.pdf (399.87 KB),Technical,3 admitted,Vijay kumar tiwari,31-Jan-2026 05:34 PM,,eo and je,Internal,,Vijay kumar tiwari,31-Jan-2026 05:40 PM,31-Jan-2026 05:45 PM,techsummary_2039732.pdf (820.20 KB),Finance,ARUN KUMAR SINGH WINNER,Vijay kumar tiwari,31-Jan-2026 06:28 PM,,BOQ Comparative Chart,Directorate of Local Bodies UP||Nagar Panchayat Beniganj Hardoi,2026_DOLBU_1105472_1,839/CJNY/ETENDRING/2025-26,3-npb me np seemantargat sbi se mahtaab ki puliya tak rcc road covered drain ka nirman karya,1.0,5831488.0,ARUN KUMAR SINGH,INR,"2,630,351.94",1.0,5831488.0,ARUN KUMAR SINGH,30-Jan-2026 12:13 AM,Accepted-AOC,L1,31-Jan-2026 06:32 PM,31-Jan-2026,"INR 2,631,404.5",90.0,Vijay kumar tiwari,31-Jan-2026 06:32 PM,3.pdf (400.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,BC - Bankers Cheque,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5831570.0,GAURAV SINHA,29-Jan-2026 07:57 PM,Rejected-AOC,L2,31-Jan-2026 06:32 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5832021.0,GIRIRAJJI ENTERPRISES,29-Jan-2026 09:46 PM,Rejected-AOC,L3,31-Jan-2026 06:32 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5831937.0,m/s Sandeep shukla,29-Jan-2026 09:40 PM,Not Admitted-Fee/PreQual/Technical,Others-physical document not submitted to the department for verification,31-Jan-2026 05:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
