Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Commissioner Rural Development UP||JDC Agra||CDO Mathura||DDO Mathura,"1561/Acc./Ni.Su./2025-26, dt. 17.12.2025",2026_RDUP_1104121_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,125.0,Block Development Officer,Mathura,No,"Block Development Officer, Block-Chaumuha","Block Development Officer, Block-Chaumuha, Distt. Mathura",1,DD - Demand Draft,Vikash khand Chaumuha ke gram nari semri NH-19 se rohtash ke ghar tak interlocking nirman karya.,Vikash khand Chaumuha ke gram nari semri NH-19 se rohtash ke ghar tak interlocking nirman karya.,Please refer Tender documents. ,NA ,"6,26,000",Civil Works,NA ,Tender,90.0,90.0,Mathura,281001.0,NA ,NA ,NA ,"Block Development Officer, Chaumuha",No ,No,06-Jan-2026 03:00 PM,12-Jan-2026 04:00 PM,06-Jan-2026 12:18 AM,12-Jan-2026 03:00 PM,NA ,NA ,06-Jan-2026 03:00 PM,12-Jan-2026 03:00 PM,19-Jan-2026 01:00 PM,"13,000",No,fixed,,Block Development Officer,Mathura,AOC,1,5798549,M/S Govind Ram Contractor And Suppliers,11-Jan-2026 10:58 PM,Rejected-Finance,Due to L2,19-Jan-2026 08:55 PM,19-Jan-2026,"INR 625,300.478",90.0,Manoj Kumar,20-Jan-2026 10:24 PM,Cau09.pdf (197.00 KB),Finance,Financial Bid Open,Manoj Kumar,19-Jan-2026 04:59 PM,,BOQ Comparative Chart,Block Development Officer,Internal,,Manoj Kumar,18-Jan-2026 08:15 PM,19-Jan-2026 01:00 PM,techsummary_2036542.pdf (199.87 KB),Block Development Officer,Internal,,Manoj Kumar,19-Jan-2026 08:55 PM,finsummary_2036542.pdf (196.77 KB),Technical,Technical Bid Open,Manoj Kumar,18-Jan-2026 07:25 PM,,Commissioner Rural Development UP||JDC Agra||CDO Mathura||DDO Mathura,2026_RDUP_1104121_9,"1561/Acc./Ni.Su./2025-26, dt. 17.12.2025",Vikash khand Chaumuha ke gram nari semri NH-19 se rohtash ke ghar tak interlocking nirman karya.,1.0,5798152.0,SHRI BIHARI JI CONTRACTOR,INR,"625,300.478",AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,2,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,5798152,SHRI BIHARI JI CONTRACTOR,11-Jan-2026 10:03 PM,Accepted-AOC,AOC,20-Jan-2026 10:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,3,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,5798682,SURENDRA PRATAP CONTRACTOR,11-Jan-2026 10:28 PM,Rejected-Finance,Due to L2,19-Jan-2026 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
