S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,SBI Bank,752.0,Nil,Nil,No,EE RED KUSHINAGAR,EE RED KUSHINAGAR,31-Dec-2025 12:00 PM,06-Jan-2026 03:00 PM,31-Dec-2025 12:00 PM,06-Jan-2026 12:00 PM,NA ,NA ,31-Dec-2025 12:00 PM,06-Jan-2026 12:00 PM,08-Jan-2026 12:00 PM,"23,000",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,1828/RED Tender KUSHINAGAR,2025_REDUP_1102921_27,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Vikas Khand Khadda ke Gram Sabha Bahor Chhapra mein Chandraman Prajapati ki dukaan se Khalihan jaane wale marg par mitti evam khadanja karya.,Vikas Khand Khadda ke Gram Sabha Bahor Chhapra mein Chandraman Prajapati ki dukaan se Khalihan jaane wale marg par mitti evam khadanja karya.,Please refer Tender documents. ,NA ,"11,54,000",Civil Works,NA ,Tender,90.0,90.0,work,274302.0,NA ,NA ,NA ,EE RED KUSHINAGAR,No ,No,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2025_REDUP_1102921_27,1828/RED Tender KUSHINAGAR,Vikas Khand Khadda ke Gram Sabha Bahor Chhapra mein Chandraman Prajapati ki dukaan se Khalihan jaane wale marg par mitti evam khadanja karya.,1,5788776,M/s Bindu Devi,04-Jan-2026 08:05 PM,Accepted-AOC,L1,22-Jan-2026 08:08 PM,1.0,5788776.0,M/s Bindu Devi,INR,100.0,EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,22-Jan-2026 06:28 PM,finsummary_2033856.pdf (146.68 KB),Finance,Bid Opening Summary,Praveen Kumar,17-Jan-2026 12:21 PM,,BOQ Comparative Chart,EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,07-Jan-2026 08:50 PM,08-Jan-2026 12:00 PM,techsummary_2033856.pdf (760.88 KB),Technical,Bid Opening Summary,Virendra Kumar Pandey,07-Jan-2026 12:34 PM,,22-Jan-2026,INR 100,90.0,Virendra Kumar Pandey,22-Jan-2026 08:07 PM,921_27.pdf (147.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,AOC,,,,,2,5788832,SHRI SURYA BLOCKS,04-Jan-2026 08:25 PM,Rejected-Finance,L2,22-Jan-2026 06:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
