Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE DEORIA,1333/RED DEORIA/E-TENDER/2025-26. DATED 04.11.2025,2025_REDUP_1096554_13,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,766.0,Nil,Nil,No,VIKAS KHAND RAMPUR KARKHANA KE GRAMSABHA BAIKUNTHPUR ME RAJSWA GRAM PURUSHOTTAMPUR ME GAUTAM SINGH KE GHAR SE GULAB GUPTA KE GHAR TAK CC ROAD KA NIRMAN KARYA,VIKAS KHAND RAMPUR KARKHANA KE GRAMSABHA BAIKUNTHPUR ME RAJSWA GRAM PURUSHOTTAMPUR ME GAUTAM SINGH KE GHAR SE GULAB GUPTA KE GHAR TAK CC ROAD KA NIRMAN KARYA,Please Refer Tender Document ,NA ,"12,44,000",Civil Works,NA ,Tender,120.0,120.0,DEORIA,274001.0,NA ,NA ,NA ,DEORIA,No ,No,06-Dec-2025 10:00 AM,15-Dec-2025 02:30 PM,06-Dec-2025 10:00 AM,12-Dec-2025 12:00 PM,NA ,NA ,06-Dec-2025 10:00 AM,12-Dec-2025 12:00 PM,18-Dec-2025 03:00 PM,EXECUTIVE ENGINEER,"OFFICE OF THE EXECUTIVE ENGINEER, RURAL ENGINEERING DEPARTMENT, DIVISION DEORIA",1,Fee/PreQual/Technical,.pdf,Tender Notice,"25,000",Yes,fixed,,Nil,Nil,AOC,1,5739110,M/s Amar Mani Tripathi,12-Dec-2025 11:23 AM,Accepted-AOC,Lowest Rate,13-Jan-2026 07:16 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE DEORIA,2025_REDUP_1096554_13,1333/RED DEORIA/E-TENDER/2025-26. DATED 04.11.2025,VIKAS KHAND RAMPUR KARKHANA KE GRAMSABHA BAIKUNTHPUR ME RAJSWA GRAM PURUSHOTTAMPUR ME GAUTAM SINGH KE GHAR SE GULAB GUPTA KE GHAR TAK CC ROAD KA NIRMAN KARYA,1.0,5739110.0,M/s Amar Mani Tripathi,INR,"1,053,483.2",Finance,Financial Bid Open,Surya Prakash,18-Dec-2025 05:10 PM,,BOQ Comparative Chart,Er. Surya Prakash,Internal,,Surya Prakash,13-Jan-2026 07:14 PM,finsummary_2018856.pdf (1383.67 KB),Technical,Technical Bid Open,Surya Prakash,16-Dec-2025 02:12 PM,,13-Jan-2026,"INR 1,053,483.2",120.0,Surya Prakash,13-Jan-2026 07:16 PM,224.pdf (1384.00 KB),Er. Surya Prakash,Internal,,Surya Prakash,18-Dec-2025 01:44 PM,18-Dec-2025 03:00 PM,techsummary_2018856.pdf (1264.16 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,AOC,2,5739130,Rana Vikramaditya Singh,12-Dec-2025 09:48 AM,Rejected-Finance,Highest Rate,13-Jan-2026 07:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
