Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Irrigation Works Circle, Moradabad||RCD, rampur",2025_UPIDC_1099612_9,04/EE/2025-26,lot no 09,1.0,5768973.0,M/s Rakesh Kumar,INR,"459,714.97",1,5769057,AJAB SINGH CONTRACTOR AND SUPPLIERS,24-Dec-2025 10:41 PM,Rejected-AOC,l2,22-Jan-2026 11:30 AM,22-Jan-2026,"INR 549,000",25.0,Naveen Kumar Singh,22-Jan-2026 11:29 AM,9.pdf (495.00 KB),ee,Internal,,Naveen Kumar Singh,29-Dec-2025 03:47 PM,29-Dec-2025 04:00 PM,techsummary_2025702.pdf (494.96 KB),Finance,financial,Naveen Kumar Singh,31-Dec-2025 12:42 PM,,BOQ Comparative Chart,ee,Internal,,Naveen Kumar Singh,22-Jan-2026 10:44 AM,finsummary_2025702.pdf (494.96 KB),Technical,technical,Naveen Kumar Singh,29-Dec-2025 02:29 PM,,AOC,17-Dec-2025 09:00 AM,26-Dec-2025 12:00 PM,17-Dec-2025 09:00 AM,25-Dec-2025 12:00 PM,NA ,NA ,17-Dec-2025 09:00 AM,25-Dec-2025 12:00 PM,29-Dec-2025 04:00 PM,1.0,Fee/PreQual/Technical,.pdf,nit,EXECUTIVE ENGINEER,RCD RAMPUR,1.0,date1,Date,,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Irrigation Works Circle, Moradabad||RCD, rampur",04/EE/2025-26,2025_UPIDC_1099612_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,354.0,Nil,Nil,No,lot no 09,lot no 09,Please refer Tender documents. ,NA ,"5,49,000",Civil Works,NA ,Tender,90.0,25.0,Rampur,244901.0,NA ,NA ,NA ,RCD RAMPUR,No ,No,1.0,SBI Bank,"10,980",No,percentage,2.0%,Nil,Nil,AOC
,,,,,,,,,2,5761496,HIMANSHU TRADERS,21-Dec-2025 08:17 PM,Rejected-Technical,not qualified,29-Dec-2025 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5768973,M/s Rakesh Kumar,25-Dec-2025 11:40 AM,Accepted-AOC,l1,22-Jan-2026 11:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5769348,SUSHIL WORKS & CONTRACTOR,24-Dec-2025 11:56 PM,Rejected-AOC,l3,22-Jan-2026 11:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
