Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
EE BDGC BSR,Internal,As per file Attached,Binod kumar Singh,13-Oct-2025 03:34 PM,13-Oct-2025 04:30 PM,techsummary_1975411.pdf (740.16 KB),17-Jan-2026,"INR 187,935",30.0,Binod kumar Singh,17-Jan-2026 12:56 PM,finsummary.pdf (740.00 KB),AOC,Technical,As per file Attached,Binod kumar Singh,10-Oct-2025 01:49 PM,technical_1975411.pdf,1.0,5595642.0,FIRANGEZ CONTRACTOR AND SUPPLIER,INR,"187,935",EE BDGC BSR,Internal,As per file Attached,Binod kumar Singh,17-Jan-2026 12:49 PM,finsummary_1975411.pdf (740.16 KB),Finance,As per file Attached,Binod kumar Singh,14-Oct-2025 12:52 PM,finance_1975411.pdf,BOQ Comparative Chart,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Drainage Circle, Aligarh||BSDGC. Bulandshahar",2025_UPIDC_1076507_43,08/EE/2025-26,silt clearance of Utsara Minor from Km 0.000 to 8.170,1,5593740,B.S. CHOUDHARY CONTRACTOR,08-Oct-2025 05:45 PM,Rejected-Finance,L-2,17-Jan-2026 12:49 PM,AOC,1.0,SBI Bank,177.0,Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Drainage Circle, Aligarh||BSDGC. Bulandshahar",08/EE/2025-26,2025_UPIDC_1076507_43,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Tender Notice,silt clearance of Utsara Minor from Km 0.000 to 8.170,silt clearance of Utsara Minor from Km 0.000 to 8.170,Please refer Tender documents. ,NA ,"2,55,000",Civil Works,NA ,Rate Contract,90.0,30.0,Hapur,245101.0,NA ,NA ,NA ,Bulandshahr,No ,No,"5,100",Yes,percentage,2.0%,Nil,Nil,04-Oct-2025 02:00 PM,09-Oct-2025 04:30 PM,04-Oct-2025 02:00 PM,09-Oct-2025 04:00 PM,NA ,NA ,04-Oct-2025 02:00 PM,09-Oct-2025 04:00 PM,13-Oct-2025 04:30 PM,EE BDGC BSR,EE BDGC BSR,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5595642,FIRANGEZ CONTRACTOR AND SUPPLIER,09-Oct-2025 11:19 AM,Accepted-AOC,AOC,17-Jan-2026 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
