Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Roorkee||MGCC Division-2, Hardwar",2025_UPIDC_1096552_2,02/EE/2025-26,Tender Notice No. 02/EE/2025-26,1.0,5767800.0,BASERA DEVELOPERS,INR,"711,004.73",1,5768061,AKANSHA TRADERS,24-Dec-2025 01:41 PM,Rejected-Technical,DOCUMENTS INCOMPLETE,30-Dec-2025 02:32 PM,20-Jan-2026,"INR 711,004.73",90.0,Gajendra Kumar Maurya,21-Jan-2026 02:37 PM,AOC05.pdf (251.00 KB),Ag.No.05/EE/2025-26,GAJENDRA SINGH MAURYA,Internal,AKHILESH KUMAR SINGH,Gajendra Kumar Maurya,30-Dec-2025 02:32 PM,30-Dec-2025 03:00 PM,techsummary_2027570.pdf (251.89 KB),Finance,Total 03 No. Responses Found Valid for Financial Evaluation.,Gajendra Kumar Maurya,30-Dec-2025 03:26 PM,finance_2027570.pdf,BOQ Comparative Chart,GAJENDRA KUMAR MAURYA,Internal,AKHILESH KUMAR SINGH,Gajendra Kumar Maurya,30-Dec-2025 03:31 PM,finsummary_2027570.pdf (188.21 KB),Technical,"Total 05 No. Responses Found in Bid and only 03 No. Responses Found valid for Technical Evaluation, Other 02 No. Responses invalid Due to Documents incomplete.",Gajendra Kumar Maurya,30-Dec-2025 02:26 PM,technical_2027570.pdf,AOC,EE MGCQC DIV-2 HARIDWAR,OFFICE OF THE EE MGCQC DIV-2 HARIDWAR,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Roorkee||MGCC Division-2, Hardwar",02/EE/2025-26,2025_UPIDC_1096552_2,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"17,000",No,fixed,,Nil,Nil,354.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document,1.0,SBI Bank,Tender Notice No. 02/EE/2025-26,Construction of V.R.B. at km.15.550 of Kundarki Dy. of M.G.C. stage-II.,Please refer Tender documents. ,NA ,"8,46,000",Civil Works - Canal,NA ,Tender,90.0,90.0,Kundarki,244413.0,NA ,NA ,NA ,OFFICE OF THE EE MGCQC DIV-2 HARIDWAR,No ,No,20-Dec-2025 10:00 AM,26-Dec-2025 01:00 PM,20-Dec-2025 10:00 AM,26-Dec-2025 11:00 AM,NA ,NA ,20-Dec-2025 10:00 AM,26-Dec-2025 11:00 AM,30-Dec-2025 03:00 PM,AOC
,,,,,,,,,2,5767800,BASERA DEVELOPERS,24-Dec-2025 04:13 PM,Accepted-AOC,L1,21-Jan-2026 02:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5771110,CHHATAR PAL SINGH CONTRACTOR,25-Dec-2025 06:01 PM,Rejected-Finance,L3,30-Dec-2025 03:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5771512,M/S KUNWAR PAL CONTRACTOR,25-Dec-2025 09:34 PM,Rejected-Technical,DOCUMENTS INCOMPLETE,30-Dec-2025 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5770867,SHEESHPAL SINGH CONTRACTOR,25-Dec-2025 05:12 PM,Rejected-Finance,L2,30-Dec-2025 03:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
