Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,01-Jan-2026 02:56 PM,02-Jan-2026 12:00 PM,techsummary_2026103.pdf (389.03 KB),Technical,Technical bid open,Sujit Kumar Sinha,30-Dec-2025 01:56 PM,technical_2026103.pdf,06-Jan-2026,"INR 659,146.21",180.0,Sujit Kumar Sinha,19-Jan-2026 04:06 PM,19.pdf (46.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2025_REDUP_1099756_19,"816/RED/Etender(21)/2025-26, Dt. 29.11.2025",Gram Panchayat Saraiali me kharanja se Shiv Dayal Verma ke ghar tak kharanja nirman karya-Phakharpur_19,1,5762772,M/s Vaishnavi Construction,27-Dec-2025 04:50 PM,Rejected-Finance,High,02-Jan-2026 06:58 PM,1.0,5762743.0,Smt. Vandana Singh,INR,"659,146.21",Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,02-Jan-2026 06:58 PM,finsummary_2026103.pdf (43.64 KB),Finance,Financial bid open,Sujit Kumar Sinha,02-Jan-2026 06:51 PM,finance_2026103.pdf,BOQ Comparative Chart,AOC,788.0,Nil,Nil,No,1.0,Date Corrigendum,Date,,Gram Panchayat Saraiali me kharanja se Shiv Dayal Verma ke ghar tak kharanja nirman karya-Phakharpur_19,Gram Panchayat Saraiali me kharanja se Shiv Dayal Verma ke ghar tak kharanja nirman karya-Phakharpur_19,Please refer Tender documents. ,NA ,"5,59,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Enginer, R.E.D. Bahraich",No ,No,18-Dec-2025 12:00 PM,30-Dec-2025 12:30 PM,18-Dec-2025 12:00 PM,30-Dec-2025 12:00 PM,NA ,NA ,18-Dec-2025 12:00 PM,30-Dec-2025 12:00 PM,02-Jan-2026 12:00 PM,1,Fee/PreQual/Technical,.pdf,Technical bid document,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"816/RED/Etender(21)/2025-26, Dt. 29.11.2025",2025_REDUP_1099756_19,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,Executive Enginer,"Office of the Executive Enginer, R.E.D. Bahraich",1.0,SBI Bank,"11,200",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,2,5762743,Smt. Vandana Singh,28-Dec-2025 05:08 PM,Accepted-AOC,AOC,19-Jan-2026 04:06 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
