Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-32, azamgarh",02/AE-II/2025-26,2025_UPIDC_1085715_127,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,559.0,Nil,Nil,No,ASSISTANT ENGINEER-II,ASSISTANT ENGINEER-II SHARDA SAHAYAK KHAND-32 AZAMGARH,"6,300",Yes,fixed,,Nil,Nil,28-Nov-2025 01:00 PM,03-Dec-2025 03:00 PM,28-Nov-2025 01:00 PM,03-Dec-2025 01:00 PM,NA ,NA ,28-Nov-2025 01:00 PM,03-Dec-2025 01:00 PM,04-Dec-2025 12:30 PM,1,Fee/PreQual/Technical,.pdf,e-Document,Earth Work in Silt Clearance and Scraping of Pratappur Mr. from Km. 0.000 to Km. 1.850 and Galibpur Mr. from Km. 0.000 to Km. 1.2000,Silt Clearance and Scraping,Please refer Tender documents. ,NA ,"63,000",Civil Works,NA ,Tender,90.0,15.0,AZAMGARH,276001.0,NA ,NA ,NA ,AZAMGARH,No ,No,1.0,SBI Bank,AOC,1,5716208,MS. PAWAN CONSTRUCTION & SUPLLIER,02-Dec-2025 06:40 PM,Accepted-AOC,L1,05-Jan-2026 06:42 PM,1.0,5716208.0,MS. PAWAN CONSTRUCTION & SUPLLIER,INR,"58,313.5","U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-32, azamgarh",2025_UPIDC_1085715_127,02/AE-II/2025-26,Earth Work in Silt Clearance and Scraping of Pratappur Mr. from Km. 0.000 to Km. 1.850 and Galibpur Mr. from Km. 0.000 to Km. 1.2000,Technical,all Admitted,ANURUDDHA VERMA,04-Dec-2025 10:55 AM,,A.P.V,Internal,,ANURUDDHA VERMA,04-Dec-2025 11:17 AM,04-Dec-2025 12:30 PM,techsummary_2012418.pdf (497.44 KB),24-Dec-2025,"INR 63,000",15.0,ANURUDDHA VERMA,05-Jan-2026 06:42 PM,127.pdf (442.00 KB),A.P.V,Internal,,ANURUDDHA VERMA,24-Dec-2025 07:45 PM,finsummary_2012418.pdf (19.94 KB),Finance,ALL Admitted,ANURUDDHA VERMA,24-Dec-2025 07:42 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,2,5714234,SHRI DINESH KUMAR,01-Dec-2025 07:38 PM,Rejected-Finance,L2,24-Dec-2025 07:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
