Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,tender Document,1.0,SBI Bank,Executive Engineer,Office of the Executive Engineer Minor Lift canal division banda,1.0,Date extention,Date,,29-Oct-2025 12:00 PM,11-Nov-2025 10:00 AM,29-Oct-2025 12:00 PM,10-Nov-2025 04:00 PM,NA ,NA ,29-Oct-2025 12:00 PM,10-Nov-2025 04:00 PM,20-Nov-2025 11:00 AM,"64,600",Yes,fixed,,Nil,Nil,construction of CC Lining Reach From 0.155 to 0.555 Km in main canal at bankat pump canal Block karwi distt chitrakoot,construction of CC Lining Reach From 0.155 to 0.555 Km in main canal at bankat pump canal Block karwi distt chitrakoot,Please refer Tender documents. ,NA ,"32,25,916",Civil Works,NA ,Tender,90.0,NA ,karwi,210205.0,NA ,NA ,NA ,MLCD BANDA,No ,No,854.0,Nil,Nil,No,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Banda||Executive Engineer MLCD Banda,05/Lot 2/EE/2025-26,2025_UPIDM_1086353_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Technical,all bids are qualified as per technical criterion,Akhil Kumar,19-Nov-2025 04:03 PM,,Akhil kUmar,Internal,,Akhil Kumar,20-Nov-2025 04:43 PM,finsummary_1991714.pdf (363.59 KB),Finance,four bids are qualified for financial part,Akhil Kumar,20-Nov-2025 04:38 PM,,BOQ Comparative Chart,Akhil kUmar,Internal,,Akhil Kumar,19-Nov-2025 04:06 PM,20-Nov-2025 11:00 AM,techsummary_1991714.pdf (363.59 KB),22-Jan-2026,"INR 2,774,409.96",90.0,Akhil Kumar,22-Jan-2026 05:42 PM,aoc22.pdf (589.00 KB),L1,1,5660460,M/S SURESH CHANDRA GUPTA,10-Nov-2025 09:46 AM,Rejected-Finance,more than lowest bid rate,20-Nov-2025 04:43 PM,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Banda||Executive Engineer MLCD Banda,2025_UPIDM_1086353_1,05/Lot 2/EE/2025-26,construction of CC Lining Reach From 0.155 to 0.555 Km in main canal at bankat pump canal Block karwi distt chitrakoot,1.0,5665492.0,M/S Sushila Enterprises,INR,"2,774,609.96",AOC
2.0,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5665492,M/S Sushila Enterprises,10-Nov-2025 12:58 PM,Accepted-AOC,L1,22-Jan-2026 05:42 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5659344,M/S VIGHNAHARTA ENTERPRISES AND CONSTRUCTION,07-Nov-2025 07:24 AM,Not Admitted-Finance,Not qualified for AOC,20-Nov-2025 04:38 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5660422,M/S VIVEK KUMAR SINGH,10-Nov-2025 09:33 AM,Rejected-Finance,more than lowest bid rate,20-Nov-2025 04:43 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5666076,SHOBHA ENTERPRISES,10-Nov-2025 03:41 PM,Rejected-Finance,more than lowest bid rate,20-Nov-2025 04:43 PM,,,,,,,,,,AOC
