Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE MAU,2026_REDUP_1105633_1,1579dt19.12.2025,"Vikas Khand Doharighat Gram Panchayat Bahrampur Vindeshwari Ke Ghar se Gyani ka Ghar Hote Hue Foolchand, Rajnath ke Ghar tak Interlocking Karya.",1.0,5809752.0,Samrath Enterprises,INR,"1,138,256.65",1.0,5810084.0,BHUPAL TIWARI,16-Jan-2026 09:05 PM,Rejected-AOC,SECOND LOWEST RATE FOUND,30-Jan-2026 01:25 PM,30-Jan-2026,"INR 1,138,256.65",90.0,ARUN KUMAR VERMA,30-Jan-2026 01:25 PM,BahrampurAOC.pdf (105.00 KB),M/S Samarth Enterprises FINANCIAL BID RATE FOUND LOWEST AND BELOW THE RATE OF DIPARTMENTAL RATE HANCE A.O.C.GENERATED IN THE NAME OF M/S Samarth Enterprises,EE RED MAU,Internal,M/S Samarth Enterprises FINANCIAL BID RATE FOUND LOWEST AND BELOW THE RATE OF DIPARTMENTAL RATE HANCE A.O.C.GENERATED IN THE NAME OF M/S Samarth Enterprise,ARUN KUMAR VERMA,30-Jan-2026 01:11 PM,finsummary_2040000.pdf (362.97 KB),Technical,Two Technical Bid found,ARUN KUMAR VERMA,20-Jan-2026 06:27 PM,technical_2040000.pdf,EE RED MAU,Internal,"E.E.A.K.Verma,D.A.O.Kunwar Raghavendra Singh,AE Jai Prakash Singh",ARUN KUMAR VERMA,24-Jan-2026 12:12 PM,27-Jan-2026 12:30 PM,techsummary_2040000.pdf (362.97 KB),Finance,Two financial Bid found,ARUN KUMAR VERMA,27-Jan-2026 02:24 PM,finance_2040000.pdf,BOQ Comparative Chart,AOC,1.0,SBI Bank,Ex.Ex.R.E.D. Vikas Bhawan Mau,Ex.Ex.R.E.D. Vikas Bhawan Mau,"27,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Payment Certificate,"1,016",Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE MAU,1579dt19.12.2025,2026_REDUP_1105633_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Vikas Khand Doharighat Gram Panchayat Bahrampur Vindeshwari Ke Ghar se Gyani ka Ghar Hote Hue Foolchand, Rajnath ke Ghar tak Interlocking Karya.","Vikas Khand Doharighat Gram Panchayat Bahrampur Vindeshwari Ke Ghar se Gyani ka Ghar Hote Hue Foolchand, Rajnath ke Ghar tak Interlocking Karya.",Please refer Tender documents. ,NA ,"13,51,000",Civil Works,NA ,Tender,90.0,90.0,MAU,275101.0,NA ,NA ,NA ,Ex.Ex.R.E.D. Vikas Bhawan Mau,No ,No,13-Jan-2026 10:00 AM,20-Jan-2026 01:30 PM,13-Jan-2026 10:00 AM,20-Jan-2026 12:00 PM,NA ,NA ,13-Jan-2026 10:00 AM,20-Jan-2026 12:00 PM,27-Jan-2026 12:30 PM,AOC
,,,,,,,,,2.0,5809752.0,Samrath Enterprises,16-Jan-2026 05:18 PM,Accepted-AOC,LOWEST RATE FOUND,30-Jan-2026 01:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Technical Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
