S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
1.0,5713504.0,Advance Mechanical Services Private Limited,03-Dec-2025 04:28 PM,Accepted-AOC,L1,12-Jan-2026 04:43 PM,1.0,5713504.0,Advance Mechanical Services Private Limited,INR,"65,691,783",Yamuna Expressway Industrial Development Authority,2025_YEIDA_1080922_1,YEA/OSD(M)/2025/1101 DT-03/10/2025,Supply Installation Testing Commissioning of Equipment and Related Services for 3D Design and rapid proto typing facilitesMedical Device park Sector-28 yea (WC-EM-02),30-Dec-2025,"INR 65,691,783",90.0,MAHRAM SINGH,12-Jan-2026 04:42 PM,1101.pdf (876.00 KB),AOC,Committee,Internal,Committee,MAHRAM SINGH,30-Dec-2025 01:34 PM,finsummary_1978419.pdf (115.93 KB),Technical,UNDER EVALUATION,BRIJ PAL SINGH,18-Dec-2025 01:04 PM,,Committee,Internal,Committee,BRIJ PAL SINGH,18-Dec-2025 01:21 PM,18-Dec-2025 01:25 PM,techsummary_1978419.pdf (694.31 KB),Finance,UNDER EVALUATION,MAHRAM SINGH,18-Dec-2025 01:31 PM,,BOQ Comparative Chart,AOC,1.0,Corrigendum 2,Date,,Yamuna Expressway Industrial Development Authority,YEA/OSD(M)/2025/1101 DT-03/10/2025,2025_YEIDA_1080922_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,Supply Installation Testing Commissioning of Equipment and Related Services for 3D Design and rapid proto typing facilitesMedical Device park Sector-28 yea (WC-EM-02),Supply Installation Testing Commissioning of Equipment and Related Services for 3D Design and rapid proto typing facilitesMedical Device park Sector-28 yea (WC-EM-02),Please refer Tender documents. ,NA ,"6,97,36,500",Electrical Works,NA ,Tender,90.0,90.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,YEIDA OFFICE ,"1ST,FLOOR,COMERCIAL COMPLEX ,BLOCK P-2,SECTOR OMEGA -1,GREAER NOIDA  ",16-Oct-2025 03:00 PM ,"2ND FLOOR ,YEIDA OFFICE",No ,No,"13,95,000",No,fixed,,Nil,Nil,1.0,SBI Bank,08-Oct-2025 06:55 PM,05-Dec-2025 11:00 AM,08-Oct-2025 06:55 PM,04-Dec-2025 05:00 PM,08-Oct-2025 06:55 PM ,15-Oct-2025 06:00 PM ,08-Oct-2025 06:55 PM,04-Dec-2025 05:00 PM,18-Dec-2025 01:25 PM,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC","6,770",Nil,Nil,No,OSD(M),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,AOC
2.0,5713852.0,ARK INFOSOLUTIONS PRIVATE LIMITED,03-Dec-2025 05:44 PM,Rejected-Finance,L2,30-Dec-2025 01:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Corrigendum 2,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,AOC
3.0,5702562.0,Multi Products Industries,03-Dec-2025 06:04 PM,Rejected-Finance,L3,30-Dec-2025 01:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,,,,,,,AOC
