Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||EGCC Circle, Bijnore||EGCD-4, bijnore",03/EE/2025-26,2025_UPIDC_1088508_7,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Documents(Technical),Lot-07,"Making service Road for Jeepable from km. 8.030 to km. 8.730, km 13.850 to km 14.550, km 24.450 to km 25.150of Najibabad Br. For the year 2025-26",Please refer Tender documents. ,NA ,"5,32,000",Civil Works - Canal,NA ,Tender,90.0,10.0,bijnor,246701.0,NA ,NA ,NA ,"E.G.C.C.D-4, Bijnor",No ,No,1.0,SBI Bank,266.0,Nil,Nil,No,07-Nov-2025 10:00 AM,14-Nov-2025 01:30 PM,07-Nov-2025 10:00 AM,14-Nov-2025 10:30 AM,NA ,NA ,07-Nov-2025 10:00 AM,14-Nov-2025 10:30 AM,17-Nov-2025 03:00 PM,"10,640",No,fixed,,Nil,Nil,E.E.,"E.G.C.C.D-4, Bijnor",AOC,Finance,Four valid bid found. which are admitted.,Mukesh Kumar,18-Nov-2025 11:17 AM,,BOQ Comparative Chart,Mukesh Kumar,Internal,Yogesh Nim,Mukesh Kumar,15-Nov-2025 02:22 PM,17-Nov-2025 03:00 PM,techsummary_1997213.pdf (874.52 KB),Technical,Four valid bid found. which are admitted.,Mukesh Kumar,14-Nov-2025 05:45 PM,,Mukesh Kumar,Internal,Yogesh Nim,Mukesh Kumar,18-Nov-2025 12:49 PM,finsummary_1997213.pdf (250.68 KB),16-Dec-2025,"INR 308,547.64",10.0,Mukesh Kumar,09-Jan-2026 03:52 PM,32Rashid.pdf (1032.00 KB),Awarded to M/S Mohd. Rashid contractor,1,5674322,M/S MOHD RASHID CONTRACTOR,13-Nov-2025 07:35 PM,Accepted-AOC,L1,09-Jan-2026 03:52 PM,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||EGCC Circle, Bijnore||EGCD-4, bijnore",2025_UPIDC_1088508_7,03/EE/2025-26,Lot-07,1.0,5674322.0,M/S MOHD RASHID CONTRACTOR,INR,"308,547.64",AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5674017,M/S MUNANDRA SINGH WORK CONTRACTOR,13-Nov-2025 11:19 PM,Rejected-AOC,L3,09-Jan-2026 03:52 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5674587,ramarshad,14-Nov-2025 10:08 AM,Rejected-AOC,L2,09-Jan-2026 03:52 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5674814,SATYA VEER SINGH CONTRACTOR,14-Nov-2025 12:19 AM,Rejected-AOC,L4,09-Jan-2026 03:52 PM,,,,,,,,,,AOC
