Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Fatehpur,27-5/EE/FTP/PMAGY/E-Ten/25-26,2025_SCIDC_1070704_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Construction of PMAGY at Gram Chhitampur Block Haswan Distt Fatehpur,Construction of PMAGY at Gram Chhitampur Block Haswan Distt Fatehpur,Please refer Tender documents. ,NA ,"16,52,000",Civil Works,NA ,Tender,105.0,90.0,Fatehpur,212601.0,EE UPSCIDCO Prayagraj ,236/174/4 Triveni Gas godown Road New Mehdauri Teliyargnaj Prayagraj  ,06-Sep-2025 12:00 PM ,EE UPSCIDCO Prayagraj,No ,No,02-Sep-2025 02:00 PM,11-Sep-2025 03:00 PM,02-Sep-2025 02:00 PM,11-Sep-2025 02:00 PM,NA ,NA ,02-Sep-2025 02:00 PM,11-Sep-2025 02:00 PM,04-Oct-2025 02:30 PM,1.0,Fee/PreQual/Technical,.pdf,NIT,EE UPSCIDCO Fatehpur,236/174/4 Triveni Gas godown Road New Mehdauri Teliyargnaj Prayagraj,1.0,Date Corrigendum,Date,,1.0,RTGS - RTGS Payment,"33,500",Yes,fixed,,EE UPSCIDCO,Fatehpur,"1,652",EE UPSCIDCO,Fatehpur,No,AOC,SS Katiyar,Internal,"Lalji Tiwari,Devendra Kumar",Surendra Katuyar,04-Oct-2025 02:22 PM,04-Oct-2025 02:30 PM,techsummary_1953477.pdf (419.40 KB),Finance,fs,Surendra Katuyar,23-Jan-2026 04:25 PM,finance_1953477.pdf,BOQ Comparative Chart,SS Katiyar,Internal,"Lalji Tiwari, Devendra Kumar",Surendra Katuyar,23-Jan-2026 04:26 PM,finsummary_1953477.pdf (227.46 KB),Technical,TD,Surendra Katuyar,04-Oct-2025 02:18 PM,technical_1953477.pdf,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Fatehpur,2025_SCIDC_1070704_1,27-5/EE/FTP/PMAGY/E-Ten/25-26,Construction of PMAGY at Gram Chhitampur Block Haswan Distt Fatehpur,1.0,5522706.0,M/S GANGA ENTERPRISES,INR,"1,648,200.4",1,5528183,ANANYA ENTERPRISES,11-Sep-2025 01:48 PM,Rejected-Technical,All document not complete,04-Oct-2025 02:22 PM,23-Jan-2026,"INR 1,648,200.4",90.0,Surendra Katuyar,23-Jan-2026 04:28 PM,wo.pdf (674.00 KB),Work Order Issue Letter No- 627 dt 04.10.2025,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5524372,HARIOM CONSTRUCTION,09-Sep-2025 08:45 PM,Rejected-AOC,2nd,23-Jan-2026 04:28 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5522706,M/S GANGA ENTERPRISES,09-Sep-2025 10:24 AM,Accepted-AOC,1st,23-Jan-2026 04:28 PM,,,,,,,,AOC
