Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
06-Jan-2026,"INR 97,537.09",25.0,Sugriv Chaudhary,06-Jan-2026 11:36 AM,Document.pdf (370.00 KB),L1,1.0,5668999.0,MANJESH KUMAR SINGH,INR,"97,537","U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Drainage Cirlce, Gonda||SCD-1 Balrampur",2025_UPIDC_1084540_4,04/AE-2/2025-26,Earth work in silt clearance/Scraping of sauroopur Mr. from km. 0.000 to km. 5.200,1,5668952,ITI CONSTRUCTION,11-Nov-2025 05:26 PM,Rejected-Finance,L2,06-Jan-2026 11:28 AM,Technical,bit,Sugriv Chaudhary,18-Nov-2025 05:04 PM,technical_1998734.pdf,Sugriv Chaudhary,Internal,awdhesh kumar,Sugriv Chaudhary,06-Jan-2026 11:28 AM,finsummary_1998734.pdf (112.00 KB),Finance,Finesh,Sugriv Chaudhary,06-Jan-2026 11:25 AM,finance_1998734.pdf,BOQ Comparative Chart,Sugriv Chaudhary,Internal,Awdhesh Kumar,Sugriv Chaudhary,18-Nov-2025 05:10 PM,19-Nov-2025 10:00 AM,techsummary_1998734.pdf (83.99 KB),AOC,"10,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,Earth work in silt clearance/Scraping of sauroopur Mr. from km. 0.000 to km. 5.200,Earth work in silt clearance/Scraping of sauroopur Mr. from km. 0.000 to km. 5.200,Please refer Tender documents. ,NA ,"98,000",Civil Works - Canal,NA ,Tender,90.0,NA ,Shrawasti,271805.0,NA ,NA ,NA ,AE-2 S.N.K.-1 BALRAMPUR,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Drainage Cirlce, Gonda||SCD-1 Balrampur",04/AE-2/2025-26,2025_UPIDC_1084540_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,NIT,559.0,Nil,Nil,No,08-Nov-2025 10:00 AM,14-Nov-2025 03:00 PM,08-Nov-2025 10:00 AM,14-Nov-2025 01:00 PM,NA ,NA ,08-Nov-2025 10:00 AM,14-Nov-2025 01:00 PM,19-Nov-2025 10:00 AM,AE-2 S.N.K.-1 BALRAMPUR,AE-2 S.N.K.-1 BALRAMPUR,AOC
,,,,,,,,,,,,,,,,2,5668999,MANJESH KUMAR SINGH,11-Nov-2025 05:41 PM,Accepted-AOC,L1,06-Jan-2026 11:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC
