Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
31-Dec-2025,"INR 68,505,580.79",365.0,Jitendra Kumar Agrawal,06-Jan-2026 04:11 PM,DOS.pdf (882.00 KB),Date of Start,1.0,5402660.0,M/S UNITE ENTERPRISES,INR,"68,505,580.79","U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Aligarh",2025_UPIDC_1050406_9,01/SE/2025-26,Renovation work of Nadarai Aqueduct located at km. 53.310 of Lower Ganga Canal.,1,5400470,AJAY ASSOCIATES,04-Aug-2025 10:50 PM,Rejected-Finance,LOWEST 3,23-Dec-2025 12:46 PM,Finance,Financial Bid Opening Summary Report,Jitendra Kumar Agrawal,19-Dec-2025 06:05 PM,finance_1933025.pdf,BOQ Comparative Chart,Jitendra Kumar Agrawal,Internal,S E I W C ETAWAH,Jitendra Kumar Agrawal,11-Aug-2025 05:11 PM,14-Aug-2025 01:00 PM,techsummary_1933025.pdf (471.92 KB),Technical,Technical Bid Opening Summary Report,Jitendra Kumar Agrawal,05-Aug-2025 05:01 PM,technical_1933025.pdf,Jitendra Kumar Agrawal,Internal,SE IWC Etawah,Jitendra Kumar Agrawal,23-Dec-2025 12:46 PM,finsummary_1933025.pdf (184.38 KB),AOC,S. E. I.W.C. Aligarh,25 Lal Diggi Aligarh,"7,900",Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Aligarh",01/SE/2025-26,2025_UPIDC_1050406_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Renovation work of Nadarai Aqueduct located at km. 53.310 of Lower Ganga Canal.,Renovation work of Nadarai Aqueduct located at km. 53.310 of Lower Ganga Canal.,Please refer Tender documents. ,NA ,"8,68,00,000",Civil Works - Canal,NA ,Tender,90.0,365.0,Kasganj,207123.0,NA ,NA ,NA ,Aligarh,No ,No,29-Jul-2025 05:00 PM,05-Aug-2025 04:00 PM,30-Jul-2025 10:00 AM,05-Aug-2025 02:00 PM,NA ,NA ,30-Jul-2025 10:00 AM,05-Aug-2025 02:00 PM,14-Aug-2025 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,NIT,"17,36,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,2,5395508,MEGHENDRA PAL SINGH CONTRECTOR,05-Aug-2025 11:34 AM,Rejected-Finance,LOWEST 2,23-Dec-2025 12:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5403114,M/S J.V. CONSTRUCTION,05-Aug-2025 01:12 PM,Rejected-Technical,Documents Not found as per requirement,11-Aug-2025 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5401267,M/S RAJ CONSTRUCTION CO.,05-Aug-2025 01:14 PM,Rejected-Technical,Documents Not found as per requirement,11-Aug-2025 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5402660,M/S UNITE ENTERPRISES,05-Aug-2025 10:56 AM,Accepted-AOC,LOWEST 1,06-Jan-2026 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5403253,Y-TECH CONSTRUCTIONS ENGINEERS & CONTRACTORS,05-Aug-2025 01:44 PM,Rejected-Technical,Documents Not found as per requirement,11-Aug-2025 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
