Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
17-Jan-2026,"INR 2,360,240",30.0,Nishant Sahay,17-Jan-2026 12:47 PM,1255aoc.pdf (372.00 KB),L1,1.0,5663097.0,J K ENTERPRISES,INR,"2,360,240",U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell East)||Superintending Engineer (Tubewell) Gorakhpur||Executive Engineer(LID) Gorakhpur,2025_UPIDM_1087926_1,1255/EE-LID GKP/18/10/2025,"NABARD FUNDED MODERNIZATION OFF CH. CHARAN SINGH GOLA PUMP CANAL GORAKHPUR. SUPPLY, INSTALLATION AND TESTING WITH PROPER LAYING OF 3Cx240 mm2 11 KV HT XLPE CABLE AT GOLA PUMMP CANAL, GORAKHPUR.",1,5666572,Actech Engineers,10-Nov-2025 06:18 PM,Rejected-Technical,TECHNICAL REJECT,28-Nov-2025 04:48 PM,Finance,FINANCIAL EVALUATION,Nishant Sahay,29-Nov-2025 08:27 PM,finance_1995684.pdf,BOQ Comparative Chart,EE LID GORAKHPUR,Internal,,Nishant Sahay,28-Nov-2025 04:48 PM,28-Nov-2025 05:00 PM,techsummary_1995684.pdf (329.18 KB),Technical,TECHNICAL EVALUATION,Nishant Sahay,28-Nov-2025 04:45 PM,technical_1995684.pdf,EE LID GORAKHPUR,Internal,,Nishant Sahay,17-Jan-2026 12:45 PM,finsummary_1995684.pdf (311.63 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL,1.0,SBI Bank,04-Nov-2025 12:00 PM,11-Nov-2025 03:00 PM,04-Nov-2025 12:00 PM,11-Nov-2025 12:00 PM,NA ,NA ,04-Nov-2025 12:00 PM,11-Nov-2025 12:00 PM,28-Nov-2025 05:00 PM,EE LID GORAKHPUR,OFFICE EE LID GORAKHPUR,"61,540",No,fixed,,Nil,Nil,854.0,Nil,Nil,No,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell East)||Superintending Engineer (Tubewell) Gorakhpur||Executive Engineer(LID) Gorakhpur,1255/EE-LID GKP/18/10/2025,2025_UPIDM_1087926_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"NABARD FUNDED MODERNIZATION OFF CH. CHARAN SINGH GOLA PUMP CANAL GORAKHPUR. SUPPLY, INSTALLATION AND TESTING WITH PROPER LAYING OF 3Cx240 mm2 11 KV HT XLPE CABLE AT GOLA PUMMP CANAL, GORAKHPUR.","NABARD FUNDED MODERNIZATION OFF CH. CHARAN SINGH GOLA PUMP CANAL GORAKHPUR. SUPPLY, INSTALLATION AND TESTING WITH PROPER LAYING OF 3Cx240 mm2 11 KV HT XLPE CABLE AT GOLA PUMMP CANAL, GORAKHPUR.",Please refer Tender documents. ,NA ,"30,77,000",Miscellaneous Works,NA ,Tender,90.0,30.0,GORAKHPUR,273408.0,NA ,NA ,NA ,OFFICE EE LID GORAKHPUR,No ,No,AOC
,,,,,,,,,,,,,,,,2,5661828,Jaiswal Electrical Stores,07-Nov-2025 08:33 PM,Rejected-Finance,L4,17-Jan-2026 12:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5663097,J K ENTERPRISES,08-Nov-2025 08:21 PM,Accepted-AOC,L1,17-Jan-2026 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5666019,M/S CHAUDHARI ENGINEERING WORKS,10-Nov-2025 04:30 PM,Rejected-Finance,L3,17-Jan-2026 12:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5654734,Sarveshwari Electric Works,10-Nov-2025 12:06 AM,Rejected-Finance,L2,17-Jan-2026 12:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
