EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"2,000",Yes,fixed,,Nil,Nil,04-Oct-2025 10:00 AM,13-Oct-2025 02:00 PM,04-Oct-2025 10:00 AM,13-Oct-2025 01:00 PM,NA ,NA ,04-Oct-2025 10:00 AM,13-Oct-2025 01:00 PM,24-Oct-2025 03:00 PM,Silt Scrapping and jungle clearance of Baidauli mr between km 0.000 to 4.200,Silt Scrapping and jungle clearance of Baidauli mr between km 0.000 to 4.200,Please refer Tender documents. ,NA ,"79,000",Civil Works - Canal,NA ,Rate Contract,90.0,20.0,SIDDHARTH NAGAR,272153.0,NA ,NA ,NA ,SARYU NAHAR KHAND 1 BANSI SIDDHARTH NAGAR,No ,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Tender Document,559.0,Nil,Nil,No,SARYU NAHAR KHAND 1 BANSI SIDDHARTH NAGAR,SARYU NAHAR KHAND 1 BANSI SIDDHARTH NAGAR,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Rapti CC Circle-2, Basti||SCD, bansi",03/EESNK1BANSI/2025-26,2025_UPIDC_1078690_45,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,AOC,Birendra Paswan,Internal,,Birendra Paswan,01-Dec-2025 02:49 PM,finsummary_1973736.pdf (250.84 KB),Finance,As per Upload,Birendra Paswan,28-Nov-2025 11:53 AM,,BOQ Comparative Chart,1.0,5600494.0,M/S GOVIND CONSTRUCTION,INR,"52,080","U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Rapti CC Circle-2, Basti||SCD, bansi",2025_UPIDC_1078690_45,03/EESNK1BANSI/2025-26,Silt Scrapping and jungle clearance of Baidauli mr between km 0.000 to 4.200,1,5600494,M/S GOVIND CONSTRUCTION,13-Oct-2025 11:09 AM,Accepted-AOC,As per Upload,01-Jan-2026 11:46 AM,Birendra Paswan,Internal,,Birendra Paswan,24-Oct-2025 02:24 PM,24-Oct-2025 03:00 PM,techsummary_1973736.pdf (403.80 KB),11-Dec-2025,"INR 52,080",20.0,Birendra Paswan,01-Jan-2026 11:46 AM,baidauli_3.pdf (248.00 KB),Technical,As per Upload,Birendra Paswan,24-Oct-2025 12:21 PM,technical_1973736.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5601004,M/S JAI MAA VAISNO TRADERS,12-Oct-2025 01:27 PM,Rejected-Finance,As Per Upload,01-Dec-2025 02:49 PM,,,,,,,,,,,,,,,,,,,AOC
