Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
AE-5 S.N.K.-1 BALRAMPUR,AE-5 S.N.K.-1 BALRAMPUR,589.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,NIT,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Drainage Cirlce, Gonda||SCD-1 Balrampur",05/AE-5/2025-26,2025_UPIDC_1083873_28,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"13,000",Yes,fixed,,Nil,Nil,06-Nov-2025 10:00 AM,12-Nov-2025 03:00 PM,06-Nov-2025 10:00 AM,12-Nov-2025 02:00 PM,NA ,NA ,06-Nov-2025 10:00 AM,12-Nov-2025 02:00 PM,18-Nov-2025 11:00 AM,Earth work in silt clearance/Scarping of Pakria Mr. from km. 0.000 to km. 5.200,Earth work in silt clearance/Scarping of Pakria Mr. from km. 0.000 to km. 5.200,Please refer Tender documents. ,NA ,"1,33,000",Civil Works - Canal,NA ,Tender,90.0,NA ,Balrampur,271201.0,NA ,NA ,NA ,AE-5 S.N.K.-1 BALRAMPUR,No ,No,AOC,1,5668848,M/S ANAND KUMAR,12-Nov-2025 11:52 AM,Accepted-AOC,L1,22-Jan-2026 11:49 AM,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Drainage Cirlce, Gonda||SCD-1 Balrampur",2025_UPIDC_1083873_28,05/AE-5/2025-26,Earth work in silt clearance/Scarping of Pakria Mr. from km. 0.000 to km. 5.200,Shyam Narayn Trigun,Internal,awdhesh kumat,Shyamnarayan Trigun,22-Jan-2026 11:47 AM,finsummary_1997283.pdf (83.92 KB),Finance,fine file,Shyamnarayan Trigun,22-Jan-2026 11:43 AM,finance_1997283.pdf,BOQ Comparative Chart,1.0,5668848.0,M/S ANAND KUMAR,INR,"130,839.81",Shyam Narayn Trigun,Internal,Awdhesh Kumar,Shyamnarayan Trigun,17-Nov-2025 05:34 PM,18-Nov-2025 11:00 AM,techsummary_1997283.pdf (83.92 KB),Technical,bid,Shyamnarayan Trigun,17-Nov-2025 05:08 PM,technical_1997283.pdf,22-Jan-2026,"INR 130,839.81",25.0,Shyamnarayan Trigun,22-Jan-2026 11:48 AM,CamScanner2.pdf (277.00 KB),L1,AOC
,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,5668898,RAMTIRATH MISHRA (RAMTIRATH MISHRA CONTRACTOR),11-Nov-2025 05:21 PM,Rejected-Finance,L2,22-Jan-2026 11:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
