Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Name,Address,Tender Stage
07-Jan-2026,"INR 1,140,951.77",180.0,Sujit Kumar Sinha,31-Jan-2026 06:02 PM,M6.pdf (46.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2025_REDUP_1099756_6,"816/RED/Etender(21)/2025-26, Dt. 29.11.2025",Gram Panchayat Shivdaha Payagpur Khajuri sampark marg Pipchara Chauraha nahar parti se Pakdi border tak kharanja nirman karya-Payagpur_06,1.0,5770642.0,MAHADEV TRADERS,INR,"1,140,951.77",1,5770642,MAHADEV TRADERS,28-Dec-2025 01:16 PM,Accepted-AOC,AOC,31-Jan-2026 06:02 PM,Finance,Financial bid open,Sujit Kumar Sinha,02-Jan-2026 06:21 PM,finance_2026057.pdf,BOQ Comparative Chart,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,01-Jan-2026 02:30 PM,02-Jan-2026 12:00 PM,techsummary_2026057.pdf (402.18 KB),Technical,Technical bid open,Sujit Kumar Sinha,30-Dec-2025 01:17 PM,technical_2026057.pdf,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,03-Jan-2026 03:32 PM,finsummary_2026057.pdf (43.32 KB),AOC,1,Fee/PreQual/Technical,.pdf,Technical bid document,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"816/RED/Etender(21)/2025-26, Dt. 29.11.2025",2025_REDUP_1099756_6,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"19,400",No,fixed,,Nil,Nil,788.0,Nil,Nil,No,18-Dec-2025 12:00 PM,30-Dec-2025 12:30 PM,18-Dec-2025 12:00 PM,30-Dec-2025 12:00 PM,NA ,NA ,18-Dec-2025 12:00 PM,30-Dec-2025 12:00 PM,02-Jan-2026 12:00 PM,Gram Panchayat Shivdaha Payagpur Khajuri sampark marg Pipchara Chauraha nahar parti se Pakdi border tak kharanja nirman karya-Payagpur_06,Gram Panchayat Shivdaha Payagpur Khajuri sampark marg Pipchara Chauraha nahar parti se Pakdi border tak kharanja nirman karya-Payagpur_06,Please refer Tender documents. ,NA ,"9,68,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Enginer, R.E.D. Bahraich",No ,No,1.0,Date Corrigendum,Date,,1.0,SBI Bank,Executive Enginer,"Office of the Executive Enginer, R.E.D. Bahraich",AOC
,,,,,,,,,,,,,,,2,5770736,M/S TEJ CONSTRUCTIONS,29-Dec-2025 11:36 PM,Rejected-Finance,High,03-Jan-2026 03:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
