Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
UP STATE WAREHOUSING CORPORATION,2025_UPSWC_1096228_1,2025122616-2,Repair/Construction of UPSWC Godowns at Sikandrabad Part-B,1.0,5754013.0,MAA DURGA CONSTRUCTION,INR,"3,970,373.78",1,5756322,Ankur Constructions,19-Dec-2025 10:59 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:47 PM,08-Jan-2026,"INR 3,970,373.78",150.0,Rakesh Kumar Rawat,27-Jan-2026 02:47 PM,sikB.pdf (601.00 KB),Work Award,Sachiv,Internal,"Junior Office Assistant, Junior Engineer, Rakesh Kumar Rawat Senior Account Officer, Suraj Rai Senior Account Officer,Dy. Manager Finance, Manager Finance, Incharge Excutive Engineer",Madan Pal Singh,02-Jan-2026 03:15 PM,finsummary_2017893.pdf (716.48 KB),Technical,Technical Bid Result,Madan Pal Singh,30-Dec-2025 07:14 PM,technical_2017893.pdf,Sachiv,Internal,"Sachiv (Chairperson), In Charge E.E.-Civil (Co-Ordinator), Manager Fin., Dy. Manager Fin.(Manish Sonkar), Sr. Acc. Officer (Suraj Rai), Sr. Acc. Officer (Rakesh Rawat), J.E. Civil, N.C.Joshi(Jr. Ass.)",Madan Pal Singh,30-Dec-2025 08:31 PM,31-Dec-2025 02:00 PM,techsummary_2017893.pdf (465.51 KB),Finance,Financial Bid Result,Madan Pal Singh,02-Jan-2026 12:50 PM,finance_2017893.pdf,BOQ Comparative Chart,AOC,1.0,RTGS - RTGS Payment,Repair/Construction of UPSWC Godowns at Sikandrabad Part-B,Repair/Construction of UPSWC Godowns at Sikandrabad Part-B,Only registered contractor with UPSWC can apply ,NA ,"46,71,028",Civil Works,Maintenance /Construction Work ,Tender,90.0,150.0,Sikandrabad,203205.0,Head Office UPSWC ,U.P. State warehousing corporation New Hyderabad Lucknow 226007 ,18-Dec-2025 02:00 PM ,Head Office UPSWC,No ,No,05-Dec-2025 06:00 PM,22-Dec-2025 10:00 AM,05-Dec-2025 06:00 PM,20-Dec-2025 06:00 PM,NA ,NA ,05-Dec-2025 06:00 PM,20-Dec-2025 06:00 PM,31-Dec-2025 02:00 PM,UP STATE WAREHOUSING CORPORATION,2025122616-2,2025_UPSWC_1096228_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Managing Director UPSWC,U.P. State warehousing corporation New Hyderabad Lucknow 226007,"1,180",U.P. State warehousing corporation,Lucknow,No,"93,500",No,fixed,,U.P. State warehousing corporation,Lucknow,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,AOC
,,,,,,,,,2,5753894,A.T.CONS.,17-Dec-2025 09:24 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,AOC
,,,,,,,,,3,5749473,BIJNOR CONSTRUCTION and SUPPLIERS,17-Dec-2025 11:20 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5759132,JAFARGANJ CONSTRUCTION,20-Dec-2025 02:32 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5754013,MAA DURGA CONSTRUCTION,17-Dec-2025 10:25 PM,Accepted-AOC,Selected From lottery system,27-Jan-2026 02:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5755828,M/S A.N CONSTRUCTIONS,18-Dec-2025 10:30 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,5757960,M/S KRISHNA TRADERS,19-Dec-2025 09:18 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,5753904,M/S MAS CONSTRUCTION,17-Dec-2025 09:32 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,5757733,M/s satyavir singh contractor,19-Dec-2025 07:48 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,5757301,M/S YASH ENTERPRISES,19-Dec-2025 04:42 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
