EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"26,000",No,fixed,,Nil,Nil,EE RED KUSHINAGAR,EE RED KUSHINAGAR,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,1903/RED Tender KUSHINAGAR,2026_REDUP_1105798_12,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,336",Nil,Nil,No,13-Jan-2026 03:00 PM,19-Jan-2026 03:00 PM,13-Jan-2026 03:00 PM,19-Jan-2026 12:00 PM,NA ,NA ,13-Jan-2026 03:00 PM,19-Jan-2026 12:00 PM,22-Jan-2026 09:00 AM,Vikas Khand Sevarahi me Bairiya Mathiya Shriram Peeth se Mathiya Shriram sampark marg par R.C.C. Road ka nirman.,Vikas Khand Sevarahi me Bairiya Mathiya Shriram Peeth se Mathiya Shriram sampark marg par R.C.C. Road ka nirman.,Please refer Tender documents. ,NA ,"13,00,000",Civil Works,NA ,Tender,90.0,90.0,work,274302.0,NA ,NA ,NA ,EE RED KUSHINAGAR,No ,No,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,1.0,SBI Bank,AOC,1,5808859,M/s Bindu Devi,17-Jan-2026 12:37 PM,Accepted-AOC,L1,22-Jan-2026 05:31 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2026_REDUP_1105798_12,1903/RED Tender KUSHINAGAR,Vikas Khand Sevarahi me Bairiya Mathiya Shriram Peeth se Mathiya Shriram sampark marg par R.C.C. Road ka nirman.,EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,22-Jan-2026 04:47 PM,finsummary_2040475.pdf (146.75 KB),Finance,Bid Opening Summary,Virendra Kumar Pandey,22-Jan-2026 10:37 AM,,BOQ Comparative Chart,1.0,5808859.0,M/s Bindu Devi,INR,100.0,EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,21-Jan-2026 08:36 PM,22-Jan-2026 09:00 AM,techsummary_2040475.pdf (787.97 KB),Technical,Bid Opening Summary,Praveen Kumar,21-Jan-2026 07:16 PM,,22-Jan-2026,INR 100,90.0,Virendra Kumar Pandey,22-Jan-2026 05:31 PM,12.pdf (147.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,AOC,2,5810906,SHRI SURYA BLOCKS,17-Jan-2026 12:44 PM,Rejected-Finance,L2,22-Jan-2026 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
