Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
12-Nov-2025,"INR 2,380,000",30.0,BALJEET BALJEET,21-Jan-2026 12:30 PM,56.pdf (652.00 KB),AOC,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XII Circle Irrigation Works, Lucknow||ID, sitapur",2025_UPIDC_1077130_4,01/EE/2025-26,Renovation work of metaled road on L/B of SSFC from km 56.350 to km 58.000 in distt. Sitapur. (Lot No-4),1.0,5577711.0,SAUMYAADITYA ENTERPRISES,INR,"1,632,052.74",1,5577673,ANANT ENTERPRISES,02-Oct-2025 04:37 PM,Not Admitted-Fee/PreQual/Technical,Others-Experiene not sufficient,14-Oct-2025 12:36 PM,Technical,2 Bidder Accepted and 8 Bidder Not Accepted,BALJEET BALJEET,14-Oct-2025 12:36 PM,technical_1968337.pdf,EEID Sitapur,Internal,"EEID Lucknow, EEID Sitapur",BALJEET BALJEET,18-Oct-2025 04:15 PM,finsummary_1968337.pdf (3201.29 KB),Finance,All Bider Accepted,BALJEET BALJEET,18-Oct-2025 03:39 PM,finance_1968337.pdf,BOQ Comparative Chart,EEID Sitapur,Internal,"EEID Lucknow, EEID Sitapur",BALJEET BALJEET,14-Oct-2025 12:38 PM,17-Oct-2025 11:30 AM,techsummary_1968337.pdf (3201.29 KB),AOC,1.0,SBI Bank,ID Sitapur,ID Sitapur,Renovation work of metaled road on L/B of SSFC from km 56.350 to km 58.000 in distt. Sitapur. (Lot No-4),Renovation work of metaled road on L/B of SSFC from km 56.350 to km 58.000 in distt. Sitapur. (Lot No-4),Please refer Tender documents. ,NA ,"23,80,000",Civil Works,NA ,Rate Contract,90.0,30.0,ID Sitapur,261001.0,NA ,NA ,NA ,ID Sitapur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document,25-Sep-2025 01:00 PM,03-Oct-2025 11:00 AM,25-Sep-2025 01:00 PM,03-Oct-2025 10:00 AM,NA ,NA ,25-Sep-2025 01:00 PM,03-Oct-2025 10:00 AM,17-Oct-2025 11:30 AM,"47,600",No,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XII Circle Irrigation Works, Lucknow||ID, sitapur",01/EE/2025-26,2025_UPIDC_1077130_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,354.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,2,5576001,BINNU SINGH CONTRACTOR,02-Oct-2025 07:13 PM,Not Admitted-Fee/PreQual/Technical,Others-IDT-3 not belong to this Division,14-Oct-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5567436,Jagat Construction,27-Sep-2025 01:31 PM,Not Admitted-Fee/PreQual/Technical,Others-ITR Assesment Year 2025-26 not Attached,14-Oct-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5577037,LINE COMMUNICATION,03-Oct-2025 08:10 AM,Not Admitted-Fee/PreQual/Technical,Others-ITR Assesment Year 2025-26 not Attached,14-Oct-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5578039,M P Traders,02-Oct-2025 08:17 PM,Not Admitted-Fee/PreQual/Technical,Others-ITR Assesment Year 2025-26 not Attached,14-Oct-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5576891,M/S AMAR PAL SINGH CONTRACTOR,02-Oct-2025 10:23 AM,Not Admitted-Fee/PreQual/Technical,Others-ITR Assesment Year 2025-26 not Attached,14-Oct-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,5578493,M/S ANUBHAV CONSTRUCTIONS,03-Oct-2025 09:41 AM,Not Admitted-Fee/PreQual/Technical,Others-IDT-2 Not Related to Firm and ITR Assesment Year 2025-26 not Attached,14-Oct-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,5576043,M/S KAPOOR TRADERS,02-Oct-2025 07:13 PM,Not Admitted-Fee/PreQual/Technical,Others-ITR Assesment Year 2025-26 not Attached,14-Oct-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,5577711,SAUMYAADITYA ENTERPRISES,02-Oct-2025 05:35 PM,Accepted-AOC,AOC,21-Jan-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,5578572,VIVEK NARAYAN PANDEY CONTRACTOR,03-Oct-2025 09:41 AM,Rejected-Finance,Due to Highest Rate Rejected,18-Oct-2025 04:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
