Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
13-Aug-2025 06:55 PM,25-Aug-2025 11:00 AM,13-Aug-2025 06:55 PM,22-Aug-2025 05:00 PM,NA ,NA ,13-Aug-2025 06:55 PM,22-Aug-2025 05:00 PM,20-Nov-2025 03:00 PM,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,"1,065",Nil,Nil,No,"94,700",No,fixed,,Nil,Nil,M/o trees shurbs internal roads and central verge in sector 32 in for two years Yeida. WC-H,M/o trees shurbs internal roads and central verge in sector 32 in for two years Yeida. WC-H,Please refer Tender documents. ,NA ,"47,34,905",Agricultural or Forestry,NA ,Tender,90.0,730.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,tender cell 2nd floor yeida,No ,No,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/399 DT-07/08/2025,2025_YEIDA_1064779_14,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",1.0,SBI Bank,AOC,Committee,Internal,Committee,VIKAS KUMAR,09-Dec-2025 03:54 PM,finsummary_1941916.pdf (1235.62 KB),Finance,EVALUATION,BHARAM PAL SINGH,08-Dec-2025 12:32 PM,,BOQ Comparative Chart,1.0,5468418.0,M/S SAHAJ ASSOCIATES,INR,"4,623,161.8",1,5472850,M/S MANOJ CONSTRUCTION CO,22-Aug-2025 01:55 PM,Rejected-Finance,L3,09-Dec-2025 03:54 PM,Yamuna Expressway Industrial Development Authority,2025_YEIDA_1064779_14,YEA/GM(PROJECT)/2025/399 DT-07/08/2025,M/o trees shurbs internal roads and central verge in sector 32 in for two years Yeida. WC-H,Committee,Internal,Committee,VIKAS KUMAR,20-Nov-2025 02:56 PM,20-Nov-2025 03:00 PM,techsummary_1941916.pdf (705.17 KB),16-Jan-2026,"INR 4,623,161.8",730.0,VIKAS KUMAR,16-Jan-2026 05:44 PM,399_14.pdf (1307.00 KB),AOC,Technical,EVALUATION,VIKAS KUMAR,20-Nov-2025 12:32 PM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,AOC,,,,,,,,,,,,,,,,,,2,5468418,M/S SAHAJ ASSOCIATES,21-Aug-2025 12:03 PM,Accepted-AOC,L1,16-Jan-2026 05:44 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,AOC,,,,,,,,,,,,,,,,,,3,5472290,M/S S F CONSTRUCTION,22-Aug-2025 03:11 PM,Rejected-Technical,DISQUALIFIED,20-Nov-2025 02:56 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,AOC,,,,,,,,,,,,,,,,,,4,5472320,M/S SHIV NURSERY,22-Aug-2025 12:54 PM,Rejected-Technical,DISQUALIFIED,20-Nov-2025 02:56 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,,,AOC,,,,,,,,,,,,,,,,,,5,5465731,M/S VANSHIKA LAND SCAPAR AND SUPPLIER,21-Aug-2025 01:46 PM,Rejected-Finance,L2,09-Dec-2025 03:54 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
