S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,date1,Date,,EXECUTIVE ENGINEER,RCD RAMPUR,354.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,nit,lot no. 1,lot no. 1,Please refer Tender documents. ,NA ,"2,71,000",Civil Works,NA ,Tender,90.0,25.0,Rampur,244901.0,NA ,NA ,NA ,RCD RAMPUR,No ,No,17-Dec-2025 09:00 AM,26-Dec-2025 12:00 PM,17-Dec-2025 09:00 AM,25-Dec-2025 12:00 PM,NA ,NA ,17-Dec-2025 09:00 AM,25-Dec-2025 12:00 PM,29-Dec-2025 04:00 PM,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Irrigation Works Circle, Moradabad||RCD, rampur",04/EE/2025-26,2025_UPIDC_1099612_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,420",No,percentage,2.0%,Nil,Nil,1.0,SBI Bank,AOC,ee,Internal,,Naveen Kumar Singh,22-Jan-2026 10:20 AM,finsummary_2025643.pdf (490.35 KB),Technical,technical,Naveen Kumar Singh,29-Dec-2025 02:03 PM,,ee,Internal,,Naveen Kumar Singh,29-Dec-2025 03:21 PM,29-Dec-2025 04:00 PM,techsummary_2025643.pdf (490.35 KB),Finance,financial,Naveen Kumar Singh,31-Dec-2025 12:10 PM,,BOQ Comparative Chart,1,5769032,AJAB SINGH CONTRACTOR AND SUPPLIERS,24-Dec-2025 09:51 PM,Rejected-AOC,l2,22-Jan-2026 10:54 AM,1.0,5768922.0,M/s Rakesh Kumar,INR,"260,024.43","U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Irrigation Works Circle, Moradabad||RCD, rampur",2025_UPIDC_1099612_1,04/EE/2025-26,lot no. 1,22-Jan-2026,"INR 271,000",25.0,Naveen Kumar Singh,22-Jan-2026 10:54 AM,1.pdf (490.00 KB),AOC
,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5761557,AMRIT AGRICULTURE WORKS,21-Dec-2025 08:30 PM,Rejected-Technical,not qualified,29-Dec-2025 03:21 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5768922,M/s Rakesh Kumar,25-Dec-2025 10:49 AM,Accepted-AOC,l1,22-Jan-2026 10:54 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,5768705,NITISH AGARWAL,24-Dec-2025 06:08 PM,Rejected-AOC,l3,22-Jan-2026 10:54 AM,,,,,,,,,,,,,,,,AOC
