EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"46,000",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,1201/RED/Tender/2024-25,2025_REDUP_992502_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Technical,10-Jan-2025 06:50 PM,17-Jan-2025 12:30 PM,10-Jan-2025 06:50 PM,16-Jan-2025 12:00 PM,NA ,NA ,10-Jan-2025 06:50 PM,16-Jan-2025 12:00 PM,27-Jan-2025 12:30 PM,EE RED Sitapur,"Vikas Bhawan, Sitapur","13 Semi High Mast Lights (200 Watts with 06 lights) at public places, Block Pisawan","13 Semi High Mast Lights (200 Watts with 06 lights) at public places, Block Pisawan",Please refer Tender documents. ,NA ,"22,80,502",Civil Works,NA ,Tender,90.0,90.0,"Pisawan, Sitapur",261001.0,NA ,NA ,NA ,Office of the EE RED Sitapur,No ,No,944.0,Nil,Nil,No,AOC,10-Feb-2025,"INR 2,280,274",90.0,Gyanendra Kumar,29-Jan-2026 04:19 PM,pisawan.pdf (315.00 KB),1,4854220,M/s Mannat Construction,14-Jan-2025 06:41 PM,Accepted-AOC,L1,29-Jan-2026 04:19 PM,Gyanendra Kumar,Internal,,Gyanendra Kumar,25-Jan-2025 11:54 AM,27-Jan-2025 12:30 PM,techsummary_1754260.pdf (308.33 KB),Finance,Two bid have been received and send For Financial Evaluation,Gyanendra Kumar,27-Jan-2025 02:11 PM,,BOQ Comparative Chart,Technical,Two bid have been received and send For Technical Evaluation,Gyanendra Kumar,20-Jan-2025 01:21 PM,,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,2025_REDUP_992502_3,1201/RED/Tender/2024-25,"13 Semi High Mast Lights (200 Watts with 06 lights) at public places, Block Pisawan",Gyanendra Kumar,Internal,,Gyanendra Kumar,31-Jan-2025 02:54 PM,finsummary_1754260.pdf (177.15 KB),1.0,4854220.0,M/s Mannat Construction,INR,"2,280,274",AOC
,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,4854823,SHAKUN CONSTRUCTION,14-Jan-2025 10:08 PM,Rejected-Finance,Higher Rate Quoted,31-Jan-2025 02:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
