Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Banda||Executive Engineer MLCD Banda,2025_UPIDM_1002239_6,12//EE/MLCDBanda/2024-25,"All work of laying, commissioning and testing of A.CMAZZA pipeline 500mm reach 0.85 to 1.40 km of the water distribution system of Benamau Minor under the new Singhvahini Pump Canal.Lot-06",1.0,4936020.0,SURESH KUMAR CONTRACTOR,INR,"2,366,020.9",1,4936011,M/S GARGA ASSOCIATES,10-Feb-2025 04:14 PM,Rejected-Finance,More than Lowest amount,03-Mar-2025 01:43 PM,24-Jan-2026,"INR 2,366,020.9",90.0,Akhil Kumar,24-Jan-2026 02:50 PM,AOC6.pdf (1563.00 KB),L1,AKHIL KUMAR,Internal,,Akhil Kumar,03-Mar-2025 01:43 PM,finsummary_1786636.pdf (1394.46 KB),Technical,ATTACH,Akhil Kumar,16-Feb-2025 02:00 PM,technical_1786636.pdf,EE MLCD,Internal,AE,Akhil Kumar,16-Feb-2025 02:23 PM,17-Feb-2025 10:00 AM,techsummary_1786636.pdf (21601.33 KB),Finance,All bids are accepted as per financial criterion,Akhil Kumar,20-Feb-2025 06:34 PM,,BOQ Comparative Chart,AOC,"All work of laying, commissioning and testing of A.CMAZZA pipeline 500mm reach 0.85 to 1.40 km of the water distribution system of Benamau Minor under the new Singhvahini Pump Canal.Lot-06","All work of laying, commissioning and testing of A.CMAZZA pipeline 500mm reach 0.85 to 1.40 km of the water distribution system of Benamau Minor under the new Singhvahini Pump Canal.Lot-06","All work of laying, commissioning and testing of A.CMAZZA pipeline 500mm reach 0.85 to 1.40 km of the water distribution system of Benamau Minor under the new Singhvahini Pump Canal.Lot-06 ",NA ,"23,71,000",Civil Works,NA ,Tender,90.0,90.0,BANDA,210001.0,NA ,NA ,NA ,EE MLCD BANDA,No ,No,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Banda||Executive Engineer MLCD Banda,12//EE/MLCDBanda/2024-25,2025_UPIDM_1002239_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,05-Feb-2025 12:00 PM,11-Feb-2025 02:30 PM,05-Feb-2025 12:00 PM,11-Feb-2025 12:00 PM,NA ,NA ,05-Feb-2025 12:00 PM,11-Feb-2025 12:00 PM,17-Feb-2025 10:00 AM,1.0,SBI Bank,EE MLCD BANDA,EE MLCD BANDA,"47,420",Yes,fixed,,Nil,Nil,854.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,TECHNICAL,AOC
,,,,,,,,,2,4936020,SURESH KUMAR CONTRACTOR,11-Feb-2025 09:51 AM,Accepted-AOC,L1,24-Jan-2026 02:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCAL,AOC
