Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
31-Jan-2026,"INR 181,000",20.0,Dinesh Mohan,31-Jan-2026 12:31 PM,55.pdf (39.00 KB),AOC,Technical,AS PER UPLOAD,Dinesh Mohan,24-Oct-2025 06:48 PM,,Dinesh Mohan,Internal,VISHWANATH SHUKLA,Dinesh Mohan,24-Oct-2025 07:10 PM,25-Oct-2025 03:00 PM,techsummary_1979048.pdf (45.20 KB),1.0,5608849.0,KALAYANI CONSTRUTION,INR,"115,584",Dinesh Mohan,Internal,Vishwanath Shukla,Dinesh Mohan,30-Jan-2026 03:39 PM,finsummary_1979048.pdf (38.80 KB),Finance,AS PER UPLOAD,Dinesh Mohan,30-Jan-2026 11:50 AM,,BOQ Comparative Chart,1,5608849,KALAYANI CONSTRUTION,15-Oct-2025 01:21 PM,Accepted-AOC,AS PER UPLOAD,31-Jan-2026 12:31 PM,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-4, basti",2025_UPIDC_1080765_55,03/EE/2025-26,Silt clearance of Kusumhamafi mr. between Km. 0.00 to 6.400,AOC,750.0,Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-4, basti",03/EE/2025-26,2025_UPIDC_1080765_55,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"4,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,AS PER UPLOAD,"Executive Engineer Saryu Nahar Khand-4,Basti (U.","Executive Engineer Saryu Nahar Khand-4,Basti (U.",Silt clearance of Kusumhamafi mr. between Km. 0.00 to 6.400,Silt clearance of Kusumhamafi mr. between Km. 0.00 to 6.400,Please refer Tender documents. ,NA ,"1,81,000",Civil Works,NA ,Rate Contract,90.0,20.0,BASTI,272001.0,NA ,NA ,NA ,"Executive Engineer Saryu Nahar Khand-4,Basti (U.",No ,No,1.0,SBI Bank,09-Oct-2025 10:00 AM,15-Oct-2025 03:30 PM,09-Oct-2025 10:00 AM,15-Oct-2025 03:00 PM,NA ,NA ,09-Oct-2025 10:00 AM,15-Oct-2025 03:00 PM,25-Oct-2025 03:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5608809,M/S CHANDRA CONSTRUCTION,15-Oct-2025 09:04 AM,Rejected-Finance,AS PER UPLOAD,30-Jan-2026 03:39 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,AS PER UPLOAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5609635,M/S JEET CONSTRUCTION,15-Oct-2025 12:25 PM,Rejected-Finance,AS PER UPLOAD,30-Jan-2026 03:39 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5604265,M/S MOHAMMAD ISMAIL CNTRACTOR,13-Oct-2025 04:07 PM,Rejected-Finance,AS PER UPLOAD,30-Jan-2026 03:39 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5604550,MTT ENTERPRISES,13-Oct-2025 05:07 PM,Rejected-Finance,AS PER UPLOAD,30-Jan-2026 03:39 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
