Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
UP Police Awas Nigam Limited||UP Police Awas Nigam Ltd HQ Lucknow,"2309/PAN/ET/25-26, DT. 07-08-2025",2025_UPPAN_1064284_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,770",Nil,Nil,No,1.0,SBI Bank,"30,000",No,fixed,,Nil,Nil,1,Date extension NOTICE,Date,,21-Aug-2025 06:30 PM,11-Sep-2025 11:30 AM,21-Aug-2025 06:30 PM,10-Sep-2025 05:00 PM,NA ,NA ,21-Aug-2025 06:30 PM,10-Sep-2025 05:00 PM,15-Sep-2025 12:00 PM,SANJEEV SAXENA,U.P. Police Awas Nigam Ltd. Lucknow,1,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,"REPAIRING OF 400 KLD OVER HEAD TANK, PAINTING AND OTHER WORK AT 36TH BN PAC DISTT - VARANASI U.P.","REPAIRING OF 400 KLD OVER HEAD TANK, PAINTING AND OTHER WORK AT 36TH BN PAC DISTT - VARANASI U.P.",Please refer Tender documents. ,NA ,"14,81,000",Civil Works,NA ,Tender,90.0,150.0,36TH BN PAC DISTT - VARANASI U.P.,221008.0,NA ,NA ,NA ,U.P. Police Awas Nigam Ltd. Lucknow,No ,No,AOC,Finance,bidder admitted,Sanjeev Saxena,01-Dec-2025 11:05 AM,,BOQ Comparative Chart,SANJEEV SAXENA,Internal,SHAMSHAD AHMED MANOJ KUMAR JOSHI,Manoj Kumar Joshi,15-Sep-2025 11:56 AM,15-Sep-2025 12:00 PM,techsummary_1946707.pdf (522.48 KB),Technical,admitted,Manoj Kumar Joshi,15-Sep-2025 11:47 AM,,SANJEEV SAXENA,Internal,SHAMSHAD AHMED MANOJ KUMAR JOSHI,Sanjeev Saxena,01-Dec-2025 11:07 AM,finsummary_1946707.pdf (615.73 KB),01-Jan-2026,"INR 1,480,851.9",150.0,Sanjeev Saxena,14-Jan-2026 02:36 PM,LOAOHT.pdf (739.00 KB),L1,UP Police Awas Nigam Limited||UP Police Awas Nigam Ltd HQ Lucknow,2025_UPPAN_1064284_2,"2309/PAN/ET/25-26, DT. 07-08-2025","REPAIRING OF 400 KLD OVER HEAD TANK, PAINTING AND OTHER WORK AT 36TH BN PAC DISTT - VARANASI U.P.",1.0,5515766.0,SUNDIGO SOLAR SOLUTIONS PRIVATE LIMITED,INR,"1,480,851.9",1.0,5515766.0,SUNDIGO SOLAR SOLUTIONS PRIVATE LIMITED,03-Sep-2025 04:40 PM,Accepted-AOC,L1,14-Jan-2026 02:36 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,Corrigendum,Other,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
