Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-23, azamgarh",01/AE/2025-26,2025_UPIDC_1088427_79,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"15,000",Yes,fixed,,Nil,Nil,A.E. SSK-23 Azamgarh,Office SSK-23 Azamgarh,1,Fee/PreQual/Technical,.pdf,Bid Dcoments,17-Nov-2025 11:00 AM,22-Nov-2025 11:00 AM,17-Nov-2025 11:00 AM,22-Nov-2025 11:00 AM,NA ,NA ,17-Nov-2025 11:00 AM,22-Nov-2025 11:00 AM,24-Nov-2025 02:00 PM,89.0,Nil,Nil,No,Lot-17,Silt clearance and Scraping,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,15.0,Azamgarh,276001.0,NA ,NA ,NA ,Office SSK-23 Azamgarh,No ,No,AOC,1.0,5691052.0,KHUDDI RAM,INR,"85,839.5",Finance,2 Bidder Technically Qualified,Ritesh Kumar Singh,19-Jan-2026 09:32 PM,,BOQ Comparative Chart,Ritesh Kuamar Singh,Internal,,Ritesh Kumar Singh,19-Jan-2026 09:35 PM,finsummary_2004515.pdf (99.25 KB),1,5691052,KHUDDI RAM,21-Nov-2025 08:42 PM,Accepted-AOC,L1,19-Jan-2026 09:40 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-23, azamgarh",2025_UPIDC_1088427_79,01/AE/2025-26,Lot-17,19-Jan-2026,"INR 150,000",15.0,Ritesh Kumar Singh,19-Jan-2026 09:40 PM,17.pdf (66.00 KB),Technical,2 Bidder Technically Qualified,Ritesh Kumar Singh,24-Nov-2025 11:30 AM,,Ritesh Kumar Singh,Internal,,Ritesh Kumar Singh,24-Nov-2025 01:12 PM,24-Nov-2025 02:00 PM,techsummary_2004515.pdf (99.25 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,5690069,M/s Kamla Prasad Yadav,20-Nov-2025 06:58 PM,Rejected-Finance,L2,19-Jan-2026 09:35 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
