Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
CONSTRUCTION OF MESS AT THANA DILARI DISTT MORADABAD U.P.,CONSTRUCTION OF MESS AT THANA DILARI DISTT MORADABAD U.P.,Please refer Tender documents. ,NA ,"13,62,000",Civil Works,NA ,Tender,90.0,180.0,DILARI DISTRICT MORADABAD U.P.,244401.0,NA ,NA ,NA ,U.P. Police Avas Nigam Ltd,No ,No,1.0,SBI Bank,"27,000",No,fixed,,Nil,Nil,UP Police Awas Nigam Limited||UP Police Awas Nigam Ltd HQ Lucknow,"3298/PAN/ET/25-26, DT. 29-10-2025",2025_UPPAN_1087261_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,30-Oct-2025 05:00 PM,14-Nov-2025 11:30 AM,30-Oct-2025 05:00 PM,13-Nov-2025 05:00 PM,NA ,NA ,30-Oct-2025 05:00 PM,13-Nov-2025 05:00 PM,24-Nov-2025 06:00 PM,"1,770",Nil,Nil,No,Sanjeev Saxena,U.P. Police Avas Nigam Ltd,AOC,Finance,ALL BIDDER ADMITTED,Sanjeev Saxena,28-Nov-2025 03:13 PM,,BOQ Comparative Chart,SANJEEV SAXENA,Internal,SHAMSHAD AHMED MANOJ KUMAR JOSHI,Sanjeev Saxena,24-Nov-2025 04:04 PM,24-Nov-2025 06:00 PM,techsummary_1993947.pdf (619.63 KB),Technical,ALL BIDDER ADMITTED,Sanjeev Saxena,24-Nov-2025 04:01 PM,,SANJEEV SAXENA,Internal,SHAMSHAD AHMED MANOJ KUMAR JOSHI,Sanjeev Saxena,28-Nov-2025 03:15 PM,finsummary_1993947.pdf (606.95 KB),06-Jan-2026,"INR 1,122,288",180.0,Manoj Kumar Joshi,16-Jan-2026 01:08 PM,DILARILOA.pdf (720.00 KB),L1,UP Police Awas Nigam Limited||UP Police Awas Nigam Ltd HQ Lucknow,2025_UPPAN_1087261_1,"3298/PAN/ET/25-26, DT. 29-10-2025",CONSTRUCTION OF MESS AT THANA DILARI DISTT MORADABAD U.P.,1.0,5668703.0,SHAURYA CONSTRACTION COMPANY,INR,"1,122,288",1,5672133,A H CONSTRUCTION,13-Nov-2025 01:29 AM,Rejected-Finance,L3,28-Nov-2025 03:15 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5673256,A P CONSTRUCTION CO,13-Nov-2025 02:52 PM,Rejected-Finance,L4,28-Nov-2025 03:15 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5672342,M/S SHRI SHYAM CONSTRUCTION CO.,13-Nov-2025 09:06 AM,Rejected-Finance,L2,28-Nov-2025 03:15 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5668703,SHAURYA CONSTRACTION COMPANY,11-Nov-2025 03:53 PM,Accepted-AOC,L1,16-Jan-2026 01:08 PM,AOC
