class,age,male,female
0,0 to 1,13063.53,11742.35
1,1 to 5,53726.01,48208.68
10,10 to 15,77906.86,71429.85
15,15 to 20,72054.04,72305.78
20,20 to 25,52264.65,51801.17
25,25 to 30,44072.77,48723.15
30,30 to 35,41469.27,48024.21
35,35 to 40,39106.13,43305.67
40,40 to 45,34066.13,37482.27
45,45 to 50,29163.81,33157.07
5,5 to 10,80807.89,71477.6
50,50 to 55,27205.77,27957.04
55,55 to 60,23161.89,25857.47
60,60 to 65,22080.35,21257.3
65,65 to 70,17016.64,16783.76
70,70 to 75,13177.7,11678.3
75,75 to 80,7284.15,7446.51
80,80 and over,6137.26,6579.63
