Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,20/MLCD/EE/2023-24,2024_UPIDM_878790_1,Yes,Open Tender,Item Rate,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender fee and EMD reciept,10-Jan-2024 11:00 AM,18-Jan-2024 02:30 PM,10-Jan-2024 11:00 AM,18-Jan-2024 12:30 PM,NA ,NA ,10-Jan-2024 11:00 AM,18-Jan-2024 12:30 PM,"38,500",Yes,fixed,,Nil,Nil,1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,SBI Bank,854.0,Nil,Nil,No,EE MLCD,Gomti nagar Lucknow,"Brick Lining, cement plaster and CC work","First class Brick Lining work, Cement Plaster work and CC work at birauli pump canal distt. barabanki",Please refer Tender documents. ,NA ,"19,26,000",Civil Works - Canal,NA ,Tender,90.0,30.0,Ramnagar distt. Barabanki,225205.0,NA ,NA ,NA ,EE MLCD LKO,No ,No,AOC,05-Feb-2024,"INR 1,771,101",30.0,YASH KUMAR,05-Mar-2024 07:24 PM,aoc20.pdf (315.00 KB),1.0,4099428.0,RAM PRATAP DIXIT,INR,"1,771,101",1.0,4095760.0,HARI OM ENTERPRISES,15-Jan-2024 02:40 PM,Rejected-Technical,L2,03-Feb-2024 12:12 PM,Finance,comprative,YASH KUMAR,19-Jan-2024 11:41 AM,finance_1499992.pdf,BOQ Comparative Chart,yash Kumar,External,Hardev Prasad,YASH KUMAR,03-Feb-2024 12:33 PM,finsummary_1499992.pdf (216.20 KB),U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,2024_UPIDM_878790_1,20/MLCD/EE/2023-24,"Brick Lining, cement plaster and CC work",yash Kumar,External,Hardev Prasad,YASH KUMAR,03-Feb-2024 12:12 PM,techsummary_1499992.pdf (216.20 KB),AOC
,,,,,,,,,,,,,,,,.pdf,"Character,Insolvency and IDT 3",,,,,,,,,,,,,,,2,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,4098414.0,M/S UGRASEN SINGH,16-Jan-2024 02:58 PM,Rejected-Technical,L5,03-Feb-2024 12:12 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Bid capacity and Bid validity on NJS,,,,,,,,,,,,,,,3,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,4095688.0,Rajesh Kumar,15-Jan-2024 02:26 PM,Rejected-Technical,L4,03-Feb-2024 12:12 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,4,Local SSI documents ,Registration of Industry Department for local SSI unit to manufacture the tendered item if required. ,Registration of Industry Department for local SSI unit to manufacture the tendered item if required. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,4095823.0,Ram Asrey,15-Jan-2024 02:55 PM,Rejected-Technical,L3,03-Feb-2024 12:12 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Registration and Experience certificate,,,,,,,,,,,,,,,5,Misc. document ,Power of attorney in favour of local agent mandatory. ,Power of attorney in favour of local agent mandatory. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5.0,4099428.0,RAM PRATAP DIXIT,18-Jan-2024 10:52 AM,Accepted-AOC,L1,05-Mar-2024 07:24 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,GST and Labour registration,,,,,,,,,,,,,,,6,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Tax related documents ,VAT registration certificate ,VAT registration certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Technical Details ,Firms capability and capacity ,Firms capability and capacity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
