Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur||W M Irrigation Workshop Division - Bareilly,07/WM/IWDB/2023-24 LOT02,2024_UPIDM_887390_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,TENDER DOC,31-Jan-2024 10:00 AM,06-Feb-2024 03:30 PM,31-Jan-2024 10:00 AM,06-Feb-2024 03:00 PM,NA ,NA ,31-Jan-2024 10:00 AM,06-Feb-2024 03:00 PM,06-Feb-2024 06:55 PM,"58,000",Yes,fixed,,"Chief Finance and Account Officer,Nagar Nigam",Kanpur,1.0,SBI Bank,"1,770","Chief Finance and Account Officer,Nagar Nigam",Kanpur,Yes,WORKS MANAGER,IWD BAREILLY,"Manufacturing/casting and providing of Lifting mechanism parts (as per BOQ and Drawing) F.O.R. at 77 miles Adig Cross Regulator, Agra Canal Mathura","Manufacturing/casting and providing of Lifting mechanism parts (as per BOQ and Drawing) F.O.R. at 77 miles Adig Cross Regulator, Agra Canal Mathura",Please refer Tender documents. ,NA ,,Miscellaneous Works,NA ,Tender,90.0,15.0,BAREILLY,243122.0,NA ,NA ,NA ,BAREILLY,No ,No,AOC,04-Mar-2024,"INR 2,838,483",15.0,GYAN CHANDRA TIWARI,28-Mar-2024 01:56 PM,aoc07lot02.pdf (787.00 KB),1.0,4148171.0,UDAY ENGINEERS,INR,"2,838,483",1,4147828,NIRMAL ENGINEERS,03-Feb-2024 06:54 PM,Rejected-Finance,higher to L1,27-Feb-2024 05:20 PM,Finance,M/s Uday Engineers has lowest rate among all the Bidders.,GYAN CHANDRA TIWARI,26-Feb-2024 06:04 PM,,BOQ Comparative Chart,WORKS MANAGER,Internal,,GYAN CHANDRA TIWARI,27-Feb-2024 05:20 PM,finsummary_1521468.pdf (484.25 KB),U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur||W M Irrigation Workshop Division - Bareilly,2024_UPIDM_887390_1,07/WM/IWDB/2023-24 LOT02,"Manufacturing/casting and providing of Lifting mechanism parts (as per BOQ and Drawing) F.O.R. at 77 miles Adig Cross Regulator, Agra Canal Mathura",Technical,03 BID RECIEVED,GYAN CHANDRA TIWARI,06-Feb-2024 04:21 PM,technical_1521468.pdf,WORKS MANAGER,Internal,,GYAN CHANDRA TIWARI,06-Feb-2024 06:07 PM,06-Feb-2024 06:55 PM,techsummary_1521468.pdf (484.25 KB),AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,4157926,SAINIK ENGINEERING WORK,06-Feb-2024 01:07 PM,Rejected-Finance,higher to L1,27-Feb-2024 05:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,4148171,UDAY ENGINEERS,03-Feb-2024 07:25 PM,Accepted-AOC,lowest rate,28-Mar-2024 01:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
