Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,12/MLCD/EE/2023-24,2024_UPIDM_877706_1,Yes,Open Tender,Item Rate,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Fee and EMD Reciept,08-Jan-2024 11:00 AM,15-Jan-2024 02:00 PM,08-Jan-2024 11:00 AM,15-Jan-2024 12:00 PM,NA ,NA ,08-Jan-2024 11:00 AM,15-Jan-2024 12:00 PM,"24,000",No,fixed,,Nil,Nil,1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,SBI Bank,766.0,Nil,Nil,No,EE MLCD LKO,Gomti Nagar Lucknow,"First Class Brick Lining,Cement Plaster,CC",First Class brick Lining Work CC work Cement Plaster work repairing of d tank at Latifnagar pump canal,Please refer Tender documents. ,NA ,"11,72,000",Civil Works - Canal,NA ,Tender,90.0,30.0,"sarojninagar, Lucknow",226008.0,NA ,NA ,NA ,Lucknow,No ,No,AOC,03-Feb-2024,"INR 1,056,795.5",30.0,YASH KUMAR,05-Mar-2024 04:25 PM,Aoc12.pdf (564.00 KB),1.0,4093433.0,RAM PRATAP DIXIT,INR,"1,056,795",1.0,4093979.0,M/S- AMIT PRAKASH CONTRACTOR,15-Jan-2024 11:55 AM,Rejected-Technical,L3,03-Feb-2024 11:48 AM,Finance,comprative,YASH KUMAR,18-Jan-2024 11:35 AM,finance_1497464.pdf,BOQ Comparative Chart,yash Kumar,External,Hardev prasad,YASH KUMAR,03-Feb-2024 12:19 PM,finsummary_1497464.pdf (283.54 KB),U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,2024_UPIDM_877706_1,12/MLCD/EE/2023-24,"First Class Brick Lining,Cement Plaster,CC",yash kumar,External,hardev prasad,YASH KUMAR,03-Feb-2024 11:48 AM,techsummary_1497464.pdf (283.54 KB),AOC
,,,,,,,,,,,,,,,,.pdf,Character Insolvency and IDT 3,,,,,,,,,,,,,,,2,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,4092476.0,M/S SHIVMOORTI CONSTRACTORS,13-Jan-2024 03:19 PM,Rejected-Technical,L2,03-Feb-2024 11:48 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Bid Capacity and Bid Validity on NJS,,,,,,,,,,,,,,,3,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,4093433.0,RAM PRATAP DIXIT,14-Jan-2024 08:29 PM,Accepted-AOC,L1,05-Mar-2024 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,4,Local SSI documents ,Registration of Industry Department for local SSI unit to manufacture the tendered item if required. ,Registration of Industry Department for local SSI unit to manufacture the tendered item if required. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Registration certificate,,,,,,,,,,,,,,,5,Misc. document ,Power of attorney in favour of local agent mandatory. ,Power of attorney in favour of local agent mandatory. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Experince,,,,,,,,,,,,,,,6,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,GST and Labour Registration,,,,,,,,,,,,,,,7,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Tax related documents ,VAT registration certificate ,VAT registration certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Technical Details ,Firms capability and capacity ,Firms capability and capacity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
