Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Panchayati Raj Department||Zila Panchayat Kaushambi,5073 Dated 30-12-2023,2024_UPPRD_876286_13,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical/EMD/Tender Fee,01-Jan-2024 05:00 PM,31-Jan-2024 02:30 PM,01-Jan-2024 05:00 PM,31-Jan-2024 02:00 PM,NA ,NA ,01-Jan-2024 05:00 PM,31-Jan-2024 02:00 PM,07-Feb-2024 12:55 PM,"29,380",No,percentage,2.0%,Apar Mukhya Adhikari Zila Panchayat Kaushambi,Manjhanpur,1.0,Date Extension,Date,,1.0,DD - Demand Draft,"1,733",Apar Mukhya Adhikari Zila Panchayat Kaushambi,Manjhanpur,No,Apar Mukhya Adhikari,Zila Panchayat Kaushambi,gram ratgaaha me saiyyed sarawa marg se behraani baag tak cc nirman kary,gram ratgaaha me saiyyed sarawa marg se behraani baag tak cc nirman kary,Please refer Tender documents. ,NA ,"14,69,000",Civil Works,NA ,Tender,90.0,90.0,Manjhanpur Kaushambi,212207.0,NA ,NA ,NA ,Zila Panchayat Kaushambi,No ,No,AOC,12-Mar-2024,"INR 1,469,000",90.0,KAMLESH SINGH,20-Mar-2024 12:15 PM,983.pdf (894.00 KB),1.0,4109032.0,Mohan Lal,INR,"1,143,932",1,4133748,Deep infra developers,30-Jan-2024 05:10 PM,Rejected-Technical,Not Qualified,07-Feb-2024 12:50 PM,Finance,Admitted,KAMLESH SINGH,07-Feb-2024 03:56 PM,,BOQ Comparative Chart,Kamlesh Singh AMA,Internal,VPD and Engineer Zila Panchayat,KAMLESH SINGH,12-Mar-2024 12:53 PM,finsummary_1494471.pdf (196.50 KB),Panchayati Raj Department||Zila Panchayat Kaushambi,2024_UPPRD_876286_13,5073 Dated 30-12-2023,gram ratgaaha me saiyyed sarawa marg se behraani baag tak cc nirman kary,Technical,Admitted,KAMLESH SINGH,31-Jan-2024 03:51 PM,,Kamlesh Singh AMA,Internal,AK Singh VPD Rakesh Kumar Yadav Eng,KAMLESH SINGH,07-Feb-2024 12:50 PM,07-Feb-2024 12:55 PM,techsummary_1494471.pdf (453.99 KB),AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,4131995,Dhara Singh,30-Jan-2024 11:34 AM,Rejected-AOC,not lowest bidder,20-Mar-2024 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,4109032,Mohan Lal,20-Jan-2024 05:28 PM,Accepted-AOC,lowest bidder,20-Mar-2024 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,4133745,M/S BHUPENDRA SINGH,30-Jan-2024 05:10 PM,Rejected-AOC,not lowest bidder,20-Mar-2024 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,4133560,M/s Chitra Construction,30-Jan-2024 04:40 PM,Rejected-AOC,not lowest bidder,20-Mar-2024 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,4112637,M/S RAM NATH,22-Jan-2024 05:19 PM,Rejected-AOC,not lowest bidder,20-Mar-2024 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,4104966,M/s Ram Pal,18-Jan-2024 04:15 PM,Rejected-AOC,not lowest bidder,20-Mar-2024 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,4137457,M/S SHRI NATH MAURYA,31-Jan-2024 01:59 PM,Rejected-Technical,Not Qualified,07-Feb-2024 12:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,4135388,M/S SHUBHAM ENTERPRISES,30-Jan-2024 11:00 PM,Rejected-AOC,not lowest bidder,20-Mar-2024 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,4137324,M/S S K ENTERPRISES,31-Jan-2024 01:24 PM,Rejected-AOC,not lowest bidder,20-Mar-2024 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
