Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Category,Sub Category,Sub Category Description,Format/File,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell East)||Superintending Engineer (Tubewell) Faizabad,01/SE/TWC/223-24,2024_UPIDM_900897_6,Yes,Open Tender,Piece-work,Works,2.0,No,Yes,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL BID,24-Feb-2024 10:00 AM,05-Mar-2024 04:00 PM,24-Feb-2024 10:00 AM,05-Mar-2024 03:00 PM,24-Feb-2024 10:00 AM ,05-Mar-2024 03:00 PM ,24-Feb-2024 10:00 AM,05-Mar-2024 03:00 PM,06-Mar-2024 06:00 PM,"85,000",Yes,fixed,,Nil,Nil,1.0,date ext,Date,,1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,SBI Bank,354.0,Nil,Nil,No,SUPERINTENDING ENGINEER TWC AYODHYA,OFFICE OF SUPERINTENDING ENGINEER TWC AYODHYA,FABRICATION OF PIPE LINE,FABRICATION OF PIPE LINE,AS PER TENDER DOCUMENT ,NA ,"49,28,742",Metal Fabrication,FABRICATION OF PIPE LINE ,Tender,90.0,30.0,"SARYU PUMP CANAL STAGE 3 NANPARA ,BAHARIACH",271865.0,NA ,NA ,NA ,OFFICE OF SUPERINTENDING ENGINEER TWC AYODHYA,No ,No,AOC,15-Mar-2024,"INR 4,076,000",30.0,PANKAJ KUMAR VERMA,26-Mar-2024 11:45 AM,pipelinestage3spc.pdf (585.00 KB),lowest rate quoted,1.0,4246563.0,MODERN ENGINEERING WORKS,INR,"4,076,000",1.0,4246563.0,MODERN ENGINEERING WORKS,29-Feb-2024 03:36 PM,Accepted-AOC,lowest rate quoted,26-Mar-2024 11:46 AM,Finance,FINANCIAL BID OPENED,PANKAJ KUMAR VERMA,07-Mar-2024 03:06 PM,,BOQ Comparative Chart,PANKAJ KUMAR VERMA,Internal,EXECUTIVE ENGINEER LID AYODHYA,PANKAJ KUMAR VERMA,07-Mar-2024 03:29 PM,finsummary_1557665.pdf (342.67 KB),U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell East)||Superintending Engineer (Tubewell) Faizabad,2024_UPIDM_900897_6,01/SE/TWC/223-24,FABRICATION OF PIPE LINE,Technical,TECHNICAL BID OPENED,PANKAJ KUMAR VERMA,06-Mar-2024 04:49 PM,technical_1557665.pdf,PANKAJ KUMAR VERMA,Internal,EXECUTIVE ENGINEER LIFT IRRIGATION DIVISION AYODHYA,PANKAJ KUMAR VERMA,06-Mar-2024 04:53 PM,06-Mar-2024 06:00 PM,techsummary_1557665.pdf (342.67 KB),AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,,2,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,4243884.0,M/S BHARAT ELECTRICAL ENGG WORKS,28-Feb-2024 05:28 PM,Rejected-Finance,HIGHER RATE QUOTED,07-Mar-2024 03:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3.0,4248198.0,M/S SHUBHAM CONSTRUCTION,29-Feb-2024 07:26 PM,Rejected-Finance,HIGHER RATE QUOTED,07-Mar-2024 03:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Misc. document ,Power of attorney in favour of local agent mandatory. ,Power of attorney in favour of local agent mandatory. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Technical Details ,Firms capability and capacity ,Firms capability and capacity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
